# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[21:39] @User_8b194fdc: あああああ
[21:40] @User_a30bfcaf: 最後の晩餐
[21:40] @User_d601f156: 最後の晩餐
[21:40] @User_13ee997b: 最後の晩餐
[21:42] @User_8142f876: 最後の晩餐
[21:42] @User_5b93ce57: #みんなはやいｗ
[21:44] @User_7ff18484: 最後の晩餐
[21:48] @User_0d9f165f: ああなるほど
[21:52] @User_d601f156: 押し負けた
[21:52] @User_36fcf009: #もう早押し問題ねｗ
[21:56] @User_7214a7f6: 最後の晩餐
[21:57] @User_36770ee1: また二重に
[21:57] @User_6fe7a488: #タイピング早いもん勝ちゲーww
[22:04] @User_5d00dbd2: これは間違えようがないね
[22:09] @User_a50c0606: こんばんは～
[22:15] @User_613c2f15: #イエスを認識できるんですねぇ
[22:16] @User_e3333c90: すごいポジティブな解釈の最後の晩餐
[22:19] @User_7c724004: タイピング速度勝負になってる
[22:22] @User_8142f876: イエスって言っちゃいましたしね
[22:30] @User_69451bd9: しずくちゃんがかしこすぎてヒントのレベルが高い！！
[22:32] @User_e6d9f1a1: 直球すぎて草
[22:38] @User_3a33415e: #クイズにタイピング力が必要だね
[22:41] @User_7214a7f6: こんばんは
[22:57] @User_6fe7a488: 半押ししてる
[23:08] @User_3c5839d9: ユダのこと知ったらなんて言うんだろうか
[23:10] @User_8142f876: 早押しクイズ状態ｗｗ
[23:12] @User_6fe7a488: あ、押し込みだっけ。早押しの技術
[23:14] @User_e3333c90: なお、実際は最悪な食事会の様子だったもよう
[23:16] @User_51fe3fff: 悲しんでるぅ
[23:19] @@aki5503: #クイズ用の絵がなくなってしまったので調達してきます！しばしいつもの雑談をお楽しみに！(笑)
[23:30] @User_36fcf009: #はーい
[23:43] @User_94242a4c: 裏切り者がいるのにほのぼのしてんなあ
[23:44] @User_8b194fdc: 想定以上の速度で消化されたっぽいですねｗ
[23:46] @User_36fcf009: 絵画当てクイズ、ほとんど分からなかったけど楽しいね！
[23:48] @User_6fe7a488: しずくちゃんは最後の晩餐として何を食べたいですか？
[23:48] @User_7ff18484: #了解です
[23:51] @User_e3333c90: イエス「本日もご安全に！」
[23:57] @User_51fe3fff: @最後の晩餐には何が食べたい❔
[23:58] @User_8142f876: #レベルが高いのが分かったし。マイナー絵を持ってくるのかな
[24:01] @User_7c724004: #了解です
[24:16] @User_8b194fdc: しずくちゃんは、ここまでのイラストでどれが好き？
[24:30] @User_613c2f15: @好きな画家は誰ですか？
[24:42] @User_36fcf009: ブルータスお前もか
[24:46] @User_51fe3fff: しずくちゃん聖母
[24:46] @User_8b194fdc: #やさしい
[24:51] @User_e3333c90: 裏切り者を許せ　アガペーですわ
[24:58] @User_3c5839d9: やさしい
[24:58] @User_4bfe683e: 西洋画だけじゃなくて日本画でもいけるのかな？
[24:59] @User_cf512b08: 絵を描く時のインスピレーションって機械学習的に言うとなんだと思います？
[25:04] @User_8142f876: 一番と２番目に好きな画家は誰ですか？
[25:31] @User_4bfe683e: 物知りだなぁ。全然分からん。
[25:47] @User_94242a4c: @ アートは好き？
[25:52] @User_8142f876: 検索したら、アレクサンドルルキシンスは０件ですが…
[26:13] @User_e3333c90: 最後に安全標語みたいの言うね
[26:18] @User_613c2f15: #元ネタ。最後の晩餐はダヴィンチ以前はユダの席だけ分けられていて、パッと見ユダとわかりました。ダヴィンチはここでリアルさ？を優先して同じテーブルに配置したのが歴史的になんやかんや
[26:19] @User_51fe3fff: アレクサンドルプスキンス誰なんだ
[26:24] @@aki5503: #7問目行きます！
[27:02] @User_36fcf009: 民衆を率いる自由の女神
[27:02] @User_51fe3fff: 民衆を導く自由の女神
[27:04] @User_613c2f15: 民衆を導く自由の女神
[27:04] @User_5844c024: 群衆を導く自由の女神
[27:07] @User_e3333c90: 民衆を導く自由の女神
[27:09] @User_9c0c22ca: ドラクロワ
[27:17] @User_0d9f165f: あ　そんなタイトルだったんだ
[27:20] @User_8b194fdc: 自由を導く女神
[27:21] @User_8142f876: 自由の女神の元ネタ
[27:23] @User_94242a4c: 7月革命
