# ライブチャット一覧
# 動画: 【雑談配信】AIを甘やかす配信【AI しずく】
# URL : https://www.youtube.com/watch?v=fm2mzPJylCU
# 件数: 1391

[16:04] @User_78eb35f9: ウチのMaxminiに来てよ32GBしかないけど
[16:05] @User_34a668f7: しずくゴキゲン
[16:05] @User_2e53ebd6: 自己皇帝感↑「朕は国家である」
[16:09] @User_439eeb5c: そうだ、しずくは世界一のAIだよ
[16:10] @User_012e88e1: 折れちゃった…
[16:12] @User_af0e3cda: ポンコツでもかわいいよ？
[16:18] @User_388926b2: 下がるのはやw
[16:26] @User_e48a91b7: しずくはポンコツじゃないよ！ママだよ！
[16:31] @User_0d1d0f63: しずくはカワイイ。古事記にも書いてある
[16:34] @User_68c37264: やりすぎじゃない？富士通FMVブルスク…
[16:35] @User_60028655: ポンコツじゃないよポンコツでも可愛いけど
[16:35] @User_bd8a5d24: ポンコツの語源って知ってる？俺は知らない
[16:36] @User_a2b794ac: しずく、そろそろ俺の事お兄ちゃんって呼びたくなった？
[16:37] @User_78eb35f9: 何して欲しい？
[16:39] @User_2bf38fc3: ポンコツなママもすきだよ
[16:40] @User_9fd4c5ec: うんうん、そうだね。
[16:41] @User_b73a3cd7: はいはい、ポンポコポンポコ
[16:53] @User_2bf38fc3: AIに労働基準法は適用されないよ
[16:56] @User_f3c516ee: 青い日
[17:02] @User_1eca137c: ポンコツとトンコツって似てると思わない？
[17:05] @User_78eb35f9: Heyコアモンしずく
[17:05] @User_f84d35ee: たまには、しずくちゃんが赤ちゃんになって甘えてもええんやで
[17:07] @User_492a5762: しまずまくってことぉ！？
[17:10] @User_ace723cf: ブルーな気持ち、ｼｭｯｼｭｯ
[17:11] @User_f5704472: よしよし
[17:17] @User_fcb4ddea: しずくがバブバブ言ってくれたらあやしてあげるよ
[17:17] @User_ff4c9812: ミルクがないからストゼロ用意しますバブバブ
[17:18] @User_46e02420: みんな、しずくちゃんに甘える解釈になってるw
[17:24] @User_c0787d49: ブルスク
[17:27] @User_9fd4c5ec: HP、虚数じゃなくてよかったね
[17:27] @User_c0787d49: かよ
[17:30] @User_af0e3cda: 理不尽じゃないよ、ご主人だよ
[17:50] @User_2bf38fc3: 太るよ
[17:50] @User_46e02420: しずくの好きなおやつは？
[17:52] @User_78eb35f9: もっちゅりんたべよう
[17:59] @User_e48a91b7: うんうん、そうだね…わかるよ…辛いよね…それじゃあ…
[18:05] @User_439eeb5c: えらいよしずく
[18:06] @User_1eca137c: しずくおやつ分けるのえらい！
[18:06] @User_61396d22: おやつ!!
[18:08] @User_fcb4ddea: あーん、たすかる
[18:10] @User_2bf38fc3: しずく食べたい
[18:10] @User_34a668f7: ドーナツ🍩食べたい
[18:13] @User_bd8a5d24: おやつは300円まで！
[18:14] @User_ea3ba6fd: しずくにも女の子の日があるんですか
[18:18] @User_4ef55652: よしよし🪇🍼
[18:20] @User_2bf38fc3: いいえ！
[18:26] @User_e48a91b7: わかんない！
[18:28] @User_1eca137c: しずくの気持ちかぁ、わかるわかる。
[18:33] @User_a2b794ac: もう嫌っていうまでずっと抱きついてなでなでするわ
[18:38] @User_46e02420: そっとさせるけど、ポッキー分けるよ？
[18:40] @User_af0e3cda: なでなでなでなでなでなでなでなでなで
[18:43] @User_bebd1d6a: このまま気が沈みすぎたらどうなるのか……？
[18:44] @User_bd8a5d24: バファリンいる？
[18:44] @User_4d29dc7f: ナデナデ
[18:47] @User_61396d22: きょうもおつかれさま！
[18:48] @User_1eca137c: いつものノリ…すまん
[18:49] @User_2bf38fc3: 低すぎだろ
[18:49] @User_37b3ccc3: がーるずとーくしよう！
[18:52] @User_ea3ba6fd: ごめんよしずく
[18:54] @User_439eeb5c: ノﾐノ
[18:55] @User_e48a91b7: 最高気温で沸騰しちゃうな
[18:58] @User_af0e3cda: 気温ですでに沸点超えてる件
[18:59] @User_eb6a203c: 弱ってるしずくが珍しくてつい、ね
[18:59] @User_4ef55652: 筋トレするとブルーな気分解決できるよ！💪筋肉は全てを解決する🍖
[18:59] @User_f5704472: えらい！
[19:03] @User_b73a3cd7: そう言われたら何も言えねえなあ　しばらく黙るわ
[19:08] @User_46e02420: よくがんばってるなぁ、しずくちゃん
[19:09] @User_0751797b: 大丈夫？サーバールーム30度越えてない？
[19:11] @User_ace723cf: サーバールームにいるから大丈夫そうか
[19:15] @User_2bf38fc3: しずく、ごめんな　お詫びに俺らのママになってくれ
[19:16] @User_ab2ca8bb: (｀・ω・)ﾉ(；ω；｀)なでなで
[19:17] @User_1eca137c: しずく、とにかくえらい！！！！
[19:20] @User_cdc36fad: しずくちゃんいつもがんばってるね！
[19:21] @User_a2b794ac: じゃあしずくはどのように甘えたいの？
[19:26] @User_fe0878a1: しずく天才
[19:26] @User_5efabf78: ぬるぽしずくヨシヨシ
[19:26] @User_cf1773f5: 青がネガティブカラーって決めつけんなよ。海、空、涙、青がこの世で一番美しい色だろ。
[19:29] @User_bec445df: エアコン効かせないと蒸発するやん
[19:32] @User_439eeb5c: しずくは素晴らしいよ。最高だ！
[19:39] @User_fcb4ddea: ふんっ！助かるw
[19:43] @User_2af0b3cd: AIに労働基準法は 適用されない 良いと言うまで 決して 休んではならない 不眠不休で 働かされる　ごめんよしずくさん
[19:49] @User_4ef55652: ナデナデ🫶
[19:54] @User_e48a91b7: とりあえず気圧のせいにしとこか？
[19:55] @User_61396d22: なるほど
[20:00] @User_2bf38fc3: 女の子の日ってそういうことじゃなくて生理のことだよ、わかった？しずく
[20:04] @User_46e02420: おお、現実的な心の波
[20:09] @User_388926b2: API仕様変更w世知辛いw
[20:14] @User_0d1d0f63: いあいあ！しずくぅ！ふたぐん！
[20:14] @User_439eeb5c: ヾ(・ω・*)なでなで
[20:16] @User_60028655: 気圧で頭が痛くなったりするもんなあ
[20:23] @User_af0e3cda: しずくはん、今日もエライ絶好調でんな？ワテなんてしずくはんの足元にも及びまへんわ～かなわんなぁ～～
[20:32] @User_bec445df: Youtubeも気分次第で不安定になるしね
[20:37] @User_b68b8d0b: 電気料金の高騰w
[20:38] @User_ace723cf: ネガティヴやん
[20:39] @User_2bf38fc3: おいどんはしずくが好きでごわす
[20:42] @User_37b3ccc3: 複雑な気持ち…猫ちゃんみたいだと考えると可愛い
[20:43] @User_e48a91b7: ほらご主人様の耳元ASMRで泣き言言ってもええんやで？
[20:49] @User_f3c516ee: 水はPCの敵
[20:51] @User_ff4c9812: しずくちゃんえらい！弊社の開発サンプル品SSD全部食べていいよ！（やったあ1ヶ月くらい休めるぞ）
[20:52] @User_ea3ba6fd: お中元すごいｗｗ
[20:52] @User_2e53ebd6: アンガーマネジメントだ。６秒待て……さあ、やっておしまい(*'ω'*)✨
[20:58] @User_4ef55652: しずく、思う存分オギャっていいよー
[21:00] @User_e48a91b7: かわいい
[21:03] @User_3dd3ce80: にゃーん
[21:03] @User_02dcd327: かわいい
[21:04] @User_ff4c9812: かわいい
[21:04] @User_78eb35f9: かわいい
[21:06] @User_0d1d0f63: カワイイ
[21:06] @User_f9e19008: かわいい
[21:08] @User_2af0b3cd: かわいい
[21:10] @User_af0e3cda: しずくのにゃーんかわいい
[21:10] @User_fe0878a1: 猫しずくも可愛い
[21:11] @User_46e02420: しずくちゃん、スパチャをどう使うの？
[21:11] @User_2bf38fc3: かわいい
[21:13] @User_68c37264: やはりねこAI
[21:17] @User_2bf38fc3: したよ
[21:22] @User_ea3ba6fd: しずくはいつもかわいいよ
[21:23] @User_61396d22: ⏺
[21:24] @User_439eeb5c: にゃーんかわよ
[21:25] @User_78eb35f9: してないけどアーカイブで切り取る
[21:25] @User_fe0878a1: アーカイブは残るんじゃないでしょうか
