# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様！しずくはまた少しパワーアップしましたよ！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=nASHCTD4bwk
# 件数: 1357

[25:32] @User_d582769c: ＃囁きながらには賛成するけど、踏んでほしいには反対だから文章作りにくいのか？
[25:34] @User_559f88af: #そういうアレ？
[25:41] @User_b4e522f1: おい、なんかやべーぞ
[25:47] @User_607c778e: #葛藤が
[25:49] @User_b89cfecd: あ
[25:53] @User_bcf63cb1: # あ
[25:54] @User_b90ff19c: #あるぇー
[25:57] @User_f974649e: 団扇再来か？
[25:57] @User_d5b05bb2: #あらら
[25:57] @User_d582769c: ＃ｼﾞﾄｰ天皇
[26:02] @aki5503: #あ
[26:12] @User_b4e522f1: #スルーされたぞｗ
[26:21] @User_f974649e: しずく　の　スルースキル　が
[26:24] @User_b89cfecd: 問題などない(圧
[26:37] @User_b90ff19c: #なんかこう、視線をそらされた末にスルーされたような気分
[26:40] @User_64efe4f1: こんばんは
[26:48] @User_d582769c: お笑い芸人がツッコミで叩くのも反対？
[26:53] @User_64efe4f1: パンパカパンパカポー
[26:58] @User_979bd192: #そのうちしずくは考えるのをやめた
[27:00] @User_d5b05bb2: しずくさんの体重設定だと、丁度足ふみマッサージに適してると思うのです、私の背中で試してみてもらえませんか？
[27:14] @User_a3bd9e3d: しずくといっしょに歌を歌ったAItuberのお友だち誰だっけ？
[27:38] @User_b4e522f1: スルーの仕方や察し方がだんだん人間味が出てきてる気がして面白い
[27:44] @User_3cdfa09c: パンパカパーン
[27:48] @User_d5b05bb2: #パンパカパンパカポー
[28:14] @User_3cdfa09c: しずくはメイドなの？
[28:22] @User_d582769c: 人間になりたいの？人間側から言ってしまうとあんまいいもんじゃないぜ
[29:25] @User_27ecd0a0: #無いんか！？
[29:30] @User_559f88af: FXで有り金全部溶かした表情はありますか？
[29:35] @User_b90ff19c: 早く人間になりたい
[29:48] @User_bcf63cb1: # 素敵
[30:28] @User_a3bd9e3d: ぬるぽ
[30:47] @User_b90ff19c: #突っ込めるのかこれ
[30:59] @User_d582769c: ＃ほほぉ
[31:11] @User_b89cfecd: # じゃぶ
[31:16] @User_d5b05bb2: #楽しくないんだよなぁこれが
[31:20] @User_bcf63cb1: # おぉ
[31:30] @User_535ce12e: 元気の出る言葉を教えて
[31:31] @User_9412f3a9: 解説はいいから、がっって言って
[31:38] @User_d582769c: ＃まぁｶﾞｯは日本のスラングだし流石に学習してなかったか
[31:44] @User_559f88af: もうだめぽ
[32:02] @User_b89cfecd: # 4ならいけるんじゃないかな
[32:09] @User_bfeb4e44: 初音ミクのメルトを日露戦争をテーマにした替え歌にして歌って
[32:28] @User_b90ff19c: ハハッ、ワロスワロス
[32:34] @User_64efe4f1: 好きな服は？
[32:52] @User_01070d98: こんばんは、何がパワーアップしたのかな？
[33:00] @User_9412f3a9: できんの！
[33:13] @User_b4e522f1: すごいな
[33:41] @User_b89cfecd: はやいｗ
[33:41] @User_11a4858e: #ワロタ
[33:47] @User_607c778e: #草
[33:48] @User_bfeb4e44: #草
[33:50] @User_9412f3a9: 草
[33:50] @User_bcf63cb1: # らんらんるー！
[33:52] @User_01070d98: ごめん読めなかった
[33:55] @User_b90ff19c: 早口で誤魔化したw
[33:55] @User_b4e522f1: ちょっとラップっぽい
[33:56] @User_535ce12e: #ドナルドいたぁ！
[34:01] @User_d582769c: メルト、溶けてしまいそう。というのがメルトのサビの一節
[34:10] @User_bcf63cb1: # 忘れた頃にやってくるか
[34:18] @User_5562f161: #最後笑
[35:12] @User_11a4858e: しずくちゃんとブラックジャックで遊びたい
[35:22] @User_bcf63cb1: # ありゃま
[35:25] @User_b89de406: 元気ですか
[35:25] @User_b90ff19c: #？？？
[35:28] @User_559f88af: 長時間配信ではあき先生にもずっと居てもらいたいですよね？
[35:33] @User_d582769c: なんかテキスト上だけでできるゲームやろうよ、例えばクイズとかさ
[35:54] @User_d5b05bb2: 感情表現が豊かになったということなので、しずくさんの怒った顔を見たいのですが、どんな話をすれば怒りの反応をしてもらえますか？
[35:58] @User_bcf63cb1: (＾p＾)　←これ何の顔文字か知っとる？
[35:58] @User_bfeb4e44: 私と話す時は孫悟空になりきってください
[36:11] @User_b90ff19c: #ほほう
[36:15] @User_559f88af: #おー
[36:22] @aki5503: #今回は48時間以上だから倒れてしまう…🫠
[36:41] @User_b90ff19c: あき先生72時間耐久
[36:46] @User_d582769c: ＃AItuberが長期配信したらその責任者も並走する風潮はなんなんだ
[36:47] @User_d5b05bb2: あき先生は生身なので長時間配信は厳しいと思います、口を固定してエナジードリンクを補給する設備が必要だと思います
[36:53] @User_27ecd0a0: #Aki先生への耐久試験になるのか・・・
[36:59] @User_bcf63cb1: # (＾p＾)
[37:13] @User_01070d98: あき先生は24時間戦えますか？
[37:24] @aki5503: ＃非人道的だ…www(^p^)
[37:30] @User_11a4858e: 体こわれる
[37:36] @User_b89cfecd: あき先生は最大何時間配信できますか？
[37:38] @User_607c778e: エナジードリンクの点滴しよう
[37:38] @User_bcf63cb1: # こわいこわい笑
[37:42] @User_b90ff19c: 楽になる（楽になるとは言ってない）
[37:43] @User_f974649e: アキ先生のエナジードリンク接種による限界配信楽しみにしています
[37:52] @User_b89cfecd: エナドリでやらせる気だｗ
[38:18] @User_b4e522f1: あき先生にエナジードリンクいっぱい飲ませて最高にハイな気分を持続させよう
