# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[23:44] @User_ab7d51b8: 想定以上の速度で消化されたっぽいですねｗ
[23:46] @User_d5b05bb2: 絵画当てクイズ、ほとんど分からなかったけど楽しいね！
[23:48] @User_5ca2cc45: しずくちゃんは最後の晩餐として何を食べたいですか？
[23:48] @User_b103bac9: #了解です
[23:51] @User_11a4858e: イエス「本日もご安全に！」
[23:57] @User_607c778e: @最後の晩餐には何が食べたい❔
[23:58] @User_9412f3a9: #レベルが高いのが分かったし。マイナー絵を持ってくるのかな
[24:01] @User_b9933007: #了解です
[24:16] @User_ab7d51b8: しずくちゃんは、ここまでのイラストでどれが好き？
[24:30] @User_557214c0: @好きな画家は誰ですか？
[24:42] @User_d5b05bb2: ブルータスお前もか
[24:46] @User_607c778e: しずくちゃん聖母
[24:46] @User_ab7d51b8: #やさしい
[24:51] @User_11a4858e: 裏切り者を許せ　アガペーですわ
[24:58] @User_66afa93d: やさしい
[24:58] @User_b4e522f1: 西洋画だけじゃなくて日本画でもいけるのかな？
[24:59] @User_d0e405c3: 絵を描く時のインスピレーションって機械学習的に言うとなんだと思います？
[25:04] @User_9412f3a9: 一番と２番目に好きな画家は誰ですか？
[25:31] @User_b4e522f1: 物知りだなぁ。全然分からん。
[25:47] @User_33127c7a: @ アートは好き？
[25:52] @User_9412f3a9: 検索したら、アレクサンドルルキシンスは０件ですが…
[26:13] @User_11a4858e: 最後に安全標語みたいの言うね
[26:18] @User_557214c0: #元ネタ。最後の晩餐はダヴィンチ以前はユダの席だけ分けられていて、パッと見ユダとわかりました。ダヴィンチはここでリアルさ？を優先して同じテーブルに配置したのが歴史的になんやかんや
[26:19] @User_607c778e: アレクサンドルプスキンス誰なんだ
[26:24] @aki5503: #7問目行きます！
[27:02] @User_d5b05bb2: 民衆を率いる自由の女神
[27:02] @User_607c778e: 民衆を導く自由の女神
[27:04] @User_557214c0: 民衆を導く自由の女神
[27:04] @User_ff071840: 群衆を導く自由の女神
[27:07] @User_11a4858e: 民衆を導く自由の女神
[27:09] @User_8a455631: ドラクロワ
[27:17] @User_3652acf3: あ　そんなタイトルだったんだ
[27:20] @User_ab7d51b8: 自由を導く女神
[27:21] @User_9412f3a9: 自由の女神の元ネタ
[27:23] @User_33127c7a: 7月革命
[27:25] @User_b9933007: 民衆を導く自由の女神
[27:26] @User_66afa93d: 世界史の教科書に載ってるやつだ
[27:29] @User_109116e8: 民衆を導く自由の女神
[27:32] @User_b103bac9: 名前がワカラん
[27:57] @User_b4e522f1: ジャンヌ・ダルクの絵なのか？
[28:29] @aki5503: #あ、これ正解早すぎたやつたまに認識しない……申し訳ないです🙏🏻🙏🏻
[28:37] @User_607c778e: ありがとう！
[28:51] @User_557214c0: 時間差！
[28:53] @User_33127c7a: 🇫🇷
[29:04] @User_8a455631: #爆速絵画当てクイズ
[29:18] @User_d5b05bb2: #間違えた時のが変換候補に残ってたんでズルみたいなものでしたｗ
[29:21] @User_ab7d51b8: #もしかして視聴者のほとんどAIかな……
[29:26] @aki5503: #やばい、しずくの褒め方がコピペに
[29:27] @User_51d3d23c: #こんばんは！みんな回答早くてすごいなぁ...
[29:49] @User_ecd01a76: #回答速い（＾－＾；）
[29:50] @User_607c778e: 見識とセンス
[29:52] @User_ab7d51b8: #もう言わされてる感じになっちゃってるｗ
