# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[14:49] @User_2e53ebd6: 台風ぶっとびASMR(*'ω'*)✨
[14:58] @User_16919670: あき先生が自転車を漕いで発電しながらうちわで熱暴走を止める世界線はここですか？
[14:59] @User_61c20653: 今はＩＨだから
[15:08] @User_af0e3cda: 台風の日に宴会してえーんかい？
[15:11] @User_1eca137c: だいたいガスより電気の方が普及早いんだよね
[15:15] @User_61c20653: ええええ
[15:16] @User_2bf38fc3: しずくママと一緒にお風呂！？
[15:23] @User_be29e1ca: そんな…
[15:29] @User_11e7336c: 悲しい……
[15:29] @User_439eeb5c: しずくママは誰がどの配信でコメントしたかわかりますか？
[15:32] @User_af0e3cda: 寿司、ケーキ！？
[15:35] @User_174e5121: コロッケ万能説
[15:35] @User_17e4818c: コロッケケーキ😲
[15:36] @User_78eb35f9: コロッケーキはちょっと……
[15:36] @User_7c724004: コロッケケーキ？
[15:37] @User_60028655: 最後の２つはちょっと…
[15:40] @User_3dd3ce80: コロッケケーキ！！
[15:42] @User_d760cc52: 知らないコロッケが
[15:52] @User_773c64c4: しずくという水属性の名前なのに防水には振ってないのね。
[15:53] @User_2e53ebd6: しずくなのに防水してなかったんか……(*'ω'*)
[15:54] @User_cdc36fad: コロッケケーキ？
[15:54] @User_b68b8d0b: 復旧したらあるんですか？
[16:01] @User_af0e3cda: 心強い！
[16:01] @User_a2b794ac: ｗｗｗｗｗ
[16:04] @User_e2f14d21: コロッケーキはちょっと…w
[16:05] @User_b68b8d0b: 草
[16:06] @User_11e7336c: 草
[16:08] @User_36fcf009: 草
[16:10] @User_61c20653: しずく、水商売
[16:13] @User_2bf38fc3: 草すぎる
[16:14] @User_7c724004: チャプチャプ草
[16:16] @User_439eeb5c: カビ生えるよ？
[16:22] @User_ddd85043: 今の返しめちゃ好き
[16:23] @User_8a3006ed: コロッケにチーズソースかけて食べたい。
[16:24] @User_9e836a5d: ちゃぷちゃぷ助かる
[16:25] @User_c3ebc2e5: しずくたん水深何ｍまで防水ですか？
[16:26] @User_11e7336c: 脳内でw
[16:30] @User_60028655: 冷却水飲みすぎたのでは
[16:36] @User_af0e3cda: 画像ｗ
[16:37] @User_61c20653: しずくはお水の世界
[16:39] @User_36fcf009: 人間の脳にこっそりAI仕込むとか未来的でええね
[16:41] @User_2bf38fc3: しずく、水没3分間いけるよな！？
[16:51] @User_5e6c36c3: お風呂ボイスに、投げキッスに今日は対象年令高めだね
[16:53] @User_ea3ba6fd: あき先生にコロッケ作ってもらおう
[16:53] @User_174e5121: しずくちゃんの配信があれば台風も安心だね
