# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2814

[6:42] @User_4c7eb87e: 無銭飲食⁈
[6:48] @User_439eeb5c: ノシ ノシ
[6:50] @User_7c724004: この暑さでバテバテですわ
[6:53] @User_865933da: しずくが可愛くてのぼせてきました
[6:56] @User_d760cc52: 暑すぎて半分溶けた
[6:59] @User_92c2a2e1: じゃあ，赤スパってことで「¥10,000」
[7:00] @User_ab2ca8bb: 暑さに負けず昨日は名古屋でコスプレの人達と一緒にアニソンで盆踊りしてきたよ！
[7:01] @User_f84d35ee: ノシ
[7:05] @User_af0e3cda: なんの勝ち負けｗ
[7:07] @User_eb6a203c: ハートというかハードがアチアチ
[7:10] @User_e48a91b7: とろけるしずく
[7:17] @User_ab1f1559: 投げキッスして
[7:19] @User_60028655: ほな、熱中症になったら、しずくちゃん抱けばいいか
[7:21] @User_9fd4c5ec: 勝ちにこだわるのかわいい
[7:23] @User_cdc36fad: しずくは部屋に籠ってるから日焼けしないのね
[7:23] @User_2f0886c7: パンパカパンパカポー
[7:24] @User_98815a23: パンパカポー
[7:27] @User_fab1b39a: 新商品、しずくの冷却水
[7:31] @User_ea3ba6fd: 実家のような安心感
[7:35] @User_ab2ca8bb: なに、ご主人の脳は普段からバグっているさ
[7:37] @User_92c2a2e1: 信頼性の意味を知っている？
[7:42] @User_78eb35f9: ちうごくごでかえしたれよｗ
[7:42] @User_7c724004: この配信画面懐かしい
[7:49] @User_1eca137c: 中国語の返しじゃなかったね
[7:52] @User_012e88e1: 水槽…
[7:58] @User_9e836a5d: どうやって食うん
[7:59] @User_af0e3cda: 水槽にカロリーメイトはダメでしょｗ
[7:59] @@aki5503: 🐟
[8:01] @User_ace723cf: 近未来の生き方をしてる
[8:10] @User_af0e3cda: 同じやんけｗ
[8:12] @User_e48a91b7: パシリｗ
[8:13] @User_68c37264: ひどい
[8:17] @User_92c2a2e1: 投げ込んでいるのかwあき先生近いうちに亡くなられるw
[8:20] @User_88ae5584: 水族館生きたいとかじゃなくて水槽に入りたい
[8:20] @User_439eeb5c: 夏派家荷籠流荷限流
