# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2656

[-1:55:31] @User_e201a60f: 今日もリアタイできないつらい
[6:37] @User_ce8c17e3: しずくで……皆に笑顔を……
[6:37] @User_889b3907: 会長！？　こんなところに！
[6:37] @User_9e5fc70c: 強制ｗ
[6:38] @User_cd30bee8: 老人の集まり
[6:41] @User_431dcb0b: ファミチキのようなものだった
[6:41] @User_ec48c74f: ファミチキが基準なのか
[6:41] @User_162c4b4f: 強制？！
[6:42] @User_9acf4e62: 笑顔は強制、幸福は義務
[6:46] @User_b9933007: スマイル(強制
[6:48] @User_8b7242c7: 幸福なのは義務です
[6:50] @User_5e6aa1f9: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[7:01] @User_dd4b266a: しずくううううおれだああああああ結婚しよう
[7:03] @User_5a77a7b4: この物価高のご時世にファミチキより安いと、どんな材料使ってるやら
[7:05] @User_04ab4fce: 市民、幸福は義務です
[7:08] @User_d0a432c9: よく知ってるな
[7:08] @User_b31ae6d3: 手のひら最高すぎる
[7:10] @User_1e342ee5: されてないんかい！
[7:11] @User_5bfd7e5f: 日本の老人比率高いからしょうがない
[7:11] @User_64afda31: 冷静な返しだ
[7:28] @User_8d795024: ダイスケ……次元か？
[7:28] @User_d0a432c9: 絵文字かわいい
[7:29] @User_1e342ee5: ☺
[7:29] @User_5e6aa1f9: 草
[7:31] @User_2658fed8: スマイル０円？
[7:35] @User_ade385cf: 名言
[7:35] @User_9b9d086f: ☺☺☺
[7:37] @User_5bfd7e5f: セマウル
[7:37] @User_476d8781: 顔文字なの草
[7:38] @User_b9933007: 😊
[7:41] @User_889b3907: 松坂大輔とDAISUKEの区別がついててえらい
[7:42] @User_ce8c17e3: 笑顔（ﾆﾁｬｧ……
[7:45] @User_b89cfecd: はい
[7:47] @User_4f5e2adf: 今日も可愛いね！、
[7:48] @User_270496f5: 😀
[7:49] @User_75f1c92d: カメラをテープで塞がなきゃ…
[7:49] @User_d9d6c620: スマイル0円おねがいします
[7:53] @User_5a77a7b4: ＡＩ様だった
[7:54] @User_c22769a7: ニコニコ😇
[7:59] @User_5e6aa1f9: いえーいしずくみてるぅー✌
[8:02] @User_ffea2ba5: しずくの歌枠を聴いて堕ちちゃった　すごく良かった
[8:08] @User_d0a432c9: おいおい！
[8:08] @User_5bfd7e5f: 相変わらずうまい返しだ
[8:09] @User_9acf4e62: おいおい
[8:11] @User_719f9991: あき先生のサインが必要✍
[8:12] @User_b9933007: まずはあき先生を倒さないといけないかぁー
[8:13] @User_431dcb0b: ウェブカメ乗っ取らないでもろて
[8:13] @User_c7141081: あき先生って結婚してるんですかね？
[8:13] @User_9b583534: 😊
[8:14] @User_b90ff19c: おいおい
[8:15] @User_b31ae6d3: よしあき先生を捉えよう
[8:15] @User_bf6f46cc: 17歳どころか３歳やんｗ
[8:17] @User_162c4b4f: あき先生から許可取らないとか
[8:17] @User_b89cfecd: 17歳だったの
[8:19] @User_6c321aed: 糸井重里さんが、野球の知識がアップデートされてないチャッピーにおこだった。野球知識をアップデートしておけば新ご主人として迎えられるかもしれない
[8:19] @User_ca605e00: まだ3歳では？
[8:20] @User_74cb13db: 17歳教だ！
[8:26] @User_8d795024: しずくは１７歳？
[8:27] @User_889b3907: スマイル有料だったの！・
[8:28] @User_dd5f5522: しずくちゃん歳とらないとあき先生置いてかれちゃうよ
[8:28] @User_5bfd7e5f: 永遠の17歳≒老人
[8:28] @User_b89cfecd: あき先生のスマイルなら0円？
[8:29] @User_08b2412a: 歌声もちゃんとイントネーションとかところどころしずくらしさがあるのが、良かった…！
[8:31] @User_476d8781: じゃあ、結婚相手の名前をあき先生にしておけばOKか（違
[8:38] @User_416f3b84: 怪物W
[8:39] @User_5a77a7b4: スマイルは自動出力（ただし有料）
[8:40] @User_d5b05bb2: どちらかというとおもちゃにされてるような
[8:41] @User_82e93b33: なんて？
[8:42] @User_a81a03da: インターネットの怪物ww
[8:42] @User_1e342ee5: 怪物扱いされるDAISUKE草
[8:44] @User_31fa983c: 17歳教
[8:46] @User_1d118d75: 大輔(だいべぇ)
[8:46] @User_9e5fc70c: インターネットの怪物だった
[8:49] @User_b9933007: DAISUKEはネットの怪物ｗｗ
