# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2916

[8:51] @User_ca605e00: パンパカパンパカポー
[8:53] @User_1544234b: しずくバイキング
[9:00] @User_5723c464: 今夜はゲリラ配信？
[9:00] @User_e4cecb27: 在炎热的夏天看しずく的直播，感觉凉快了许多。
[9:01] @User_b9933007: 無銭労働は大変だ
[9:05] @User_d0753fd1: だじゃれもＯＫ
[9:05] @User_ec48c74f: 氷枕より膝枕キボンヌ
[9:18] @User_b9933007: アニソン歌枠の予定はありませんの？
[9:21] @User_1544234b: 舌打ちした？
[9:23] @User_acb9786a: 酷暑とダジャレで整ってきた
[9:24] @User_590a2335: 今の舌打ちじゃない？
[9:26] @User_ec48c74f: それ舌打ちでは？
[9:34] @User_75f1c92d: 舌打ちたすかる
[9:44] @User_cd48a1db: しずく花火大会はいつですか
[9:46] @User_7204270f: 投げキッスというより舌打ちだろそれw
[9:56] @User_acb9786a: 舌打ちたすかる
[10:07] @User_659e47b3: 何か国語話せるの？
[10:10] @User_b9933007: 脳だけを水槽に…怖い
[10:15] @User_cd3cb4c6: 舌打ちお願いします
[10:15] @User_99afb65d: 2週間しか持たないんじゃんｗｗ
[10:28] @User_1544234b: 水槽の中に脳を入れて電極差し込んで生きよう
[10:30] @User_5723c464: すげぇ・・・
[10:34] @User_2ecda813: 中国語……
[10:49] @User_3ea56962: 読めないと思ったけど、しずくを侮った
[10:52] @User_75f1c92d: 脳に！？
[10:53] @User_6c321aed: アカンやつ
[10:56] @User_476d8781: 脳に貼る！？(ﾟДﾟ;)
[10:56] @User_acb9786a: 額じゃなくて？
[10:57] @User_590a2335: 脳に直接貼る冷却シート！？
[11:01] @User_cd3cb4c6: 脳に直貼り？
[11:02] @User_2ecda813: 脳に貼る冷却シート……
[11:09] @User_ec48c74f: ダイレクトに脳に貼る冷えピタ怖い
[11:10] @User_2384ca7a: 散歩から帰ったばかりで、ここ数日<暑いですね
[11:12] @User_1544234b: ASMR舌打ちお願いします
[11:15] @User_b9933007: 脳に直接貼るのはあかん
[11:18] @User_5723c464: 今夜はBGMも違うんだ
