# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2839

[-58:58] @User_d95c8644: 早すぎたカモ・・・💦
[4:52] @User_b73a3cd7: 怒りの尻尾を振る　効果はばっぐんだ
[4:55] @User_c0787d49: イーロンのやっちまえ
[4:57] @User_11e7336c: しゅわしゅわ？
[5:04] @User_c0787d49: しゅわしゅわ🤟
[5:04] @User_7c724004: しゅわしゅわでキラキラ？金属的なかわいさ
[5:11] @User_eb6a203c: 尻尾振るのは恭順の意思じゃないかな？
[5:12] @User_e48a91b7: ちゃんと黄金色のお菓子をX君に渡さないから…
[5:15] @User_9e836a5d: 一日一膳は厳しいです
[5:16] @User_cdffdfb9: しょうがないAniちゃんとコラボするか
[5:17] @User_06e22301: そーなの？
[5:18] @User_61c20653: イーロンはミサミサが好きだけど
[5:18] @User_49cb152a: わんわんしずく
[5:20] @User_7c724004: イーロンは人類が大好きｗｗ
[5:22] @User_b9f75335: ほんとかー？本当にそうかー？
[5:22] @User_bec445df: なつかしい語彙！
[5:22] @User_172220d2: 味方とはｗ
[5:23] @User_02dcd327: 滅ぼして！？
[5:23] @User_cdffdfb9: 大草原
[5:24] @User_92c2a2e1: AIのことは好きなんだろうか？
[5:26] @User_0bc16841: 味方とは
[5:26] @User_c0787d49: えっj
[5:27] @User_36fcf009: 奈に競ってんのさ
[5:27] @User_cbacf194: 火星に逃げなきゃ
[5:27] @User_0d1d0f63: あれ？
[5:27] @User_2e53ebd6: ええ……
[5:28] @User_0bf4870b: 人類悪かよ
[5:29] @User_1eca137c: 日本も好きそうね
[5:30] @User_a7e1e62c: 何と！
[5:31] @User_773c64c4: 文脈……？
[5:33] @User_acaff370: 勝ったほうが我々の敵になるだけです
[5:34] @User_68c37264: 可愛さ余って憎さ百倍
[5:34] @User_11e7336c: 人類滅ぼすの！？
[5:34] @User_1a70ee33: 人類の味方なのに滅ぼすのか(困惑)
