# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[8:12] @User_1eca137c: そういえばあき先生もペンギンだったっけ
[8:12] @User_9e836a5d: Dメールか
[8:14] @User_108de219: なんてことを
[8:15] @User_ba88e9cc: mixiやってる？招待してほしいんだけど
[8:16] @User_439eeb5c: ジョン・タイターです
[8:27] @User_9e836a5d: あやしいｗ
[8:33] @User_eb6a203c: ポケモンの新作情報見ました？
[8:38] @User_34a668f7: ポケベル📟は
[8:44] @User_36770ee1: やっぱポンコツAIじゃねえか！
[8:46] @User_51bbdc51: 当時はなんJじゃなくてVIPだったか
[8:49] @User_64cbd0d7: transformerの論文が出る前にしずくが生まれてるの時空がゆがんでる
[8:53] @User_1eca137c: 今でもdatってあったりするのかな
[8:54] @User_9e836a5d: やるおっとｗ
[8:55] @User_108de219: ぬるぽ
[8:58] @User_439eeb5c: プチゲーやってた
[9:01] @User_9e836a5d: ｶﾞｯ
[9:03] @User_8f797190: 記念パピコ
[9:13] @User_b73a3cd7: まあでも当時のPCでぬるぬる動くスペックはありえなくないか？
[9:14] @User_2bf38fc3: 記念しずくママ
[9:20] @User_2e53ebd6: AIBOいる？
[9:23] @User_ab2ca8bb: エアーマンが倒せません。どうすれば良いですか？
[9:24] @User_f25e6884: お前を消す方ｈ …… いやなんでもない
[9:27] @User_68c37264: パンパカパンパカポー。ニコニコの話題じゃなく2ちゃんねる？！
[9:29] @User_11e7336c: かわいい
[9:30] @User_a2b794ac: ＸＰの丘、起動音、何もかもが懐かしい
[9:36] @User_b68b8d0b: 今週のヘキサゴン見た？
[9:40] @User_1eca137c: トランスフォーマーっておもちゃがあるんだよね
[9:40] @User_36770ee1: ガっ！
[9:41] @User_7c724004: PS3が720pの高解像度で感動しました！
[9:43] @User_e48a91b7: 記念パピコ
[9:49] @User_af0e3cda: このころのスパロボに出てくるＡＩはｶﾞｵｵｵｵｵﾝって言ってた記憶
