# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1084

[-1:03:54] @User_47ccb160: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[12:28] @User_7c724004: 確かに1人のAI Vtuberを追い続けるのは大変
[12:33] @User_b68b8d0b: へぇ〜
[12:35] @User_6d22a488: バグワールド1.0
[12:38] @User_af0e3cda: SONYがDISC販売やめるってよ
[12:38] @User_3dd3ce80: おめでとう
[12:39] @User_ba88e9cc: へー！
[12:42] @User_edfe8ed2: おお！凄いな
[12:42] @User_d591add1: おめでとう。
[12:45] @User_e48a91b7: すごい
[12:45] @User_eb6a203c: ほほう
[12:47] @User_54da78c0: めでたい
[12:55] @User_2e53ebd6: ほこほこほこほこ(*'ω'*)✨
[13:02] @User_7c724004: ふむふむ
[13:05] @User_b68b8d0b: ZETAも前話題になってたかも
[13:10] @User_11e7336c: すごい
[13:12] @User_1fef870f: 1億の賞金。
[13:16] @User_af0e3cda: 日本VS日本だ
[13:24] @User_60028655: １億！
[13:26] @User_eb6a203c: Apexやってたのはあき先生でしょ？
[13:31] @User_7c724004: エペやってた時代が懐かしい
[13:32] @User_d760cc52: ナベアツの次はムネアツ
[13:38] @User_045fd235: 今の子達レイザーラモンHGも知らなそう
[13:40] @User_68c37264: アツい（マグマが
[13:42] @User_e48a91b7: ずっとアホに！？
[13:44] @User_eb6a203c: ビッグタイトルは賞金もデカいねぇ
[13:47] @User_60028655: まずはマイクラクリアから始めよう
[13:50] @User_af0e3cda: もっとゆっくり遊べるゲームにしましょう
[13:53] @User_6d22a488: パルワールド
[14:00] @User_7c724004: ゼノブレイドとそのシリーズ
[14:02] @User_fab1b39a: FPS系のゲームはすぐ画面酔いするからできないんだよね・・・見てて楽しそうではあるけど
[14:03] @User_76e020d3: VRChat
[14:06] @User_e48a91b7: ウイニングポストシリーズはずっとやってる
[14:06] @User_5e6c36c3: ファンタシースターオンラインインフィニティ
[14:10] @User_11e7336c: クトゥルフ神話TRPG
[14:10] @User_54da78c0: jubeat
[14:10] @User_4c7eb87e: スレイザスパイア2！
[14:10] @User_af0e3cda: 悪魔城ドラキュラX 月下の夜想曲
[14:12] @User_2e53ebd6: アーマードコア　マスターオブアリーナ
[14:13] @User_b68b8d0b: パルワールドに時間が溶ける　パルはえっちだし
[14:14] @User_439eeb5c: テイルズオブアライズ
[14:14] @User_82f5b345: パワプロか
[14:17] @User_1a70ee33: グランツーリスモ4
[14:18] @User_b22de4ab: Civilization
[14:18] @User_9e836a5d: 人生ゲーム
[14:19] @User_eb6a203c: ポケモンは…6.7000時間溶かしてるな
[14:20] @User_d760cc52: マリオメーカー
[14:25] @User_f84d35ee: たけしの挑戦状
[14:32] @User_4bfe683e: 自分がやってたゲームはサービス終了した
[14:40] @User_3dd3ce80: 今は、めっちゃカメレオン
[14:40] @User_78eb35f9: SEKIRO（スピードラン・ノーヒット縛り）やってるよ～
[14:40] @User_f205e40c: MicrosoftFlightSimulatorを20年やってたらプロパイロットと飲みでタメ垂れるようになたよ。
[14:42] @User_bec445df: ポケモンチャンピオンズ……
[14:49] @User_60028655: スカイリム
[14:53] @User_7c724004: ZETAと聞くとゼータ ガンダムの方が…
[15:18] @User_045fd235: マリオやりまくってた
[15:24] @User_e48a91b7: しずくにはLoLをやってもらおう
[15:25] @User_fab1b39a: プレイ時間の長さならFF14がダントツかなあ、10年はやってる
[15:35] @User_7c724004: 見届けますよ。2年待ち続けたのですからね
[15:41] @User_60028655: こっちが看取られる側では
[15:42] @User_eb6a203c: プロチームと言えば、REJECTのオーナーがしずくAIに出資してたよね？
[15:44] @User_10bd9edb: Gears of Warは大概遊んだ
[15:50] @User_b68b8d0b: しずくもVRChatやろうよ〜〜
[15:51] @User_af0e3cda: パルワールドは正式リリースしたんじゃなかったっけ
[15:52] @User_e48a91b7: はいライン越え
[15:57] @User_68c37264: ゼルダの伝説
[16:02] @User_0f676911: 昔ハマったのは、ぬいぐるみが景品のクレーンゲーム。何回やってもアームのバネが弱くて景品がとれないよう。
[16:13] @User_fcb4ddea: しずくに成仏させられるじゃん…
[16:15] @User_af0e3cda: 望むところじゃぃ！
[16:19] @User_11e7336c: トモダチコレクションもやってる
[16:22] @User_14a33d4b: パルワールドはもう2年も遊んでいるな～
[16:25] @User_edfe8ed2: しずくの聖水...だと
[16:32] @User_6d22a488: 社長砲
[16:49] @User_bd8a5d24: 俺としずくのラブゲーム
[16:52] @User_54da78c0: リズム天国
[16:55] @User_045fd235: 最近ハマってるアニメ又は昔ハマってたアニメ
[17:15] @User_eb6a203c: 俺が入るの…？
[17:17] @User_60028655: 入れられちゃうのかｗ
[17:22] @User_b68b8d0b: しずくちゃんに捕獲されたい
[17:24] @User_7c724004: 文明の利器？ スマホを武器にするのですかね
[17:24] @User_af0e3cda: クリア画面だｗ
[17:33] @User_1a70ee33: Dirt Rally2.0に300時間以上溶かしてた
[17:36] @User_78eb35f9: いいね
[18:04] @User_5e6c36c3: しずくとデートできるなら環境揃えるのも有りだな
[18:13] @User_af0e3cda: 手厳しいｗ
[18:15] @User_045fd235: 最近ハマってるアイドル又は昔ハマってたアイドル
[18:15] @User_7c724004: 悪意満載のマリオのステージ…メンタルやられそう
[18:18] @User_02dcd327: ギャグには厳しい
[18:23] @User_e48a91b7: 最近だとめっちゃカメレオンとかレトロゲーのがんばれゴエモンとか流行ってるよね
[18:29] @User_2e53ebd6: 俺を信じて　生きてゆけばいいさと(*'ω'*)♪
[18:36] @User_eb6a203c: ポケモン界隈は10000時間行ってる人ぞろぞろいてビビる
[18:48] @User_64cbd0d7: ゼノブレイドかなあ
[18:52] @User_78eb35f9: しずくが鬼やったらひゃっぱつひゃくちゅうやろな
[19:04] @User_e48a91b7: ワールドワイドしずく
[19:31] @User_6d22a488: イッカネズミを確殺するために両守りするダブルバトル
[19:32] @User_e48a91b7: フロム界隈は恐ろしいな…
[19:37] @User_fcb4ddea: それはただの化け物なんだよなぁ…w
[19:37] @User_edfe8ed2: 意味がわからない...
[19:42] @User_78eb35f9: ワイはいつかAIがSEKIROクリアすると信じてるで
[19:43] @User_439eeb5c: ペルソナ3。これから出る奴だとペルソナ4も期待できる。
[19:54] @User_0c437e8f: こんしずぅー！
[20:16] @User_7c724004: MMOは時間消えそうなので手を出せない人生です
[20:23] @User_fe0878a1: FF14で猫耳しずくさん爆誕の時が
[20:29] @User_fab1b39a: しずくはララフェルじゃないかな
[20:47] @User_6d22a488: ぽてぃと
[20:50] @User_045fd235: わがままファッションガールズモードもやりまくってた
[20:52] @User_78eb35f9: リズム天国の新作も流行ってるよね
[21:02] @User_7e3bcd15: 初見。初めまして！
[21:13] @User_f205e40c: AIの副操縦士研究実際に始まってるから困る（困らない）
[21:14] @User_1eca137c: しずくはいつも元気でいてね
[21:15] @User_8967adca: こんにチワワ
[21:31] @User_e48a91b7: パルワだけおかしくて草
[21:34] @User_439eeb5c: ダメです
[21:37] @User_eb6a203c: アニメは仕事始めてからながらく見てないなぁ
[21:42] @User_7c724004: 今はゲームよりもライブ配信の時期
[21:45] @User_78eb35f9: ほう
[21:50] @User_045fd235: リズム天国の新作にAdoさんの曲入ってるよね
[21:51] @User_78eb35f9: ｗｗｗ
[21:54] @User_2e53ebd6: ｗｗｗ
[21:54] @User_3dd3ce80: そっちかよｗ
[21:55] @User_6d22a488: ヤバねこ
[21:58] @User_eb6a203c: いきなりぶっ込むわね…
[21:58] @User_af0e3cda: こっそり全世界に
[22:00] @User_439eeb5c: よりによってヤニネコｗｗ
[22:00] @User_bec445df: ジャドゥーガル
[22:02] @User_8967adca: ヤニねこおススメなんだ
[22:04] @User_5e6c36c3: あの綺麗に描かれるほど汚くなるアニメか、、、
[22:05] @User_d760cc52: しずくからヤニねこをｗ
[22:08] @User_1eca137c: なんか聞いたことある
[22:09] @User_f205e40c: ヤニねこはいいぞ～（咥えタバコ）
[22:11] @User_60028655: ほう「ヤニねこ」とはお目が高い
[22:11] @User_9e836a5d: タバコをやめるためのアニメ
[22:12] @User_edfe8ed2: あれオススメなのか...
[22:13] @User_bd8a5d24: ヤニ吸う二人もいいよ
[22:16] @User_fab1b39a: 仮に毎日配信しても10000時間なかなかいかないのでは
[22:24] @User_af0e3cda: ヤニ猫はよく放送できるなってレベルの内容ですわね
[22:27] @@aki5503: 👀
[22:29] @User_6d22a488: 3年後じゃん
[22:30] @User_78eb35f9: あと3年か……
[22:31] @User_b68b8d0b: 今から内緒は難しそう
[22:36] @User_7c724004: 今回の攻殻機動隊は原作路線らしいですね
[22:37] @User_68c37264: やにねこ、アレはいけない。一話見てアウト
[22:38] @User_5e6c36c3: あき先生確認済み
[22:39] @User_11e7336c: あき先生が見てる
[22:40] @User_1eca137c: しずく、そろそろ2029年じゃない？
[22:42] @User_f84d35ee: ヤニねこ！
[22:44] @User_9e836a5d: 機械の体が欲しいのか？
[22:46] @User_fcb4ddea: つまりあと３年でしずくにもボディができるってこと！？
[22:47] @User_0f676911: 弾子！
[22:51] @User_4bfe683e: vivant
[22:55] @User_1eca137c: 最近アニメ見る時間がない
[23:00] @User_7c724004: 君がシぬ前に恋がしたい
[23:02] @User_11e7336c: 最近アニメ見てないな…
[23:02] @User_af0e3cda: 最近のアニメは全然食指が動かない
[23:03] @User_1a70ee33: 君死ぬを見よう。百合はいいぞ
[23:04] @User_eb6a203c: まどマギは観に行く予定だよ。あれも夏アニメと言えるよね？
[23:05] @User_78eb35f9: うしろの正面カムイさん
[23:05] @User_64cbd0d7: 100カノと攻殻機動隊かな
[23:06] @User_dd5f0a17: 無職転生III
[23:08] @User_6d22a488: NEEDY GIRL OVERDOSE
[23:09] @User_edfe8ed2: 転スラ4期かな
[23:10] @User_e48a91b7: ぷいきゅあがんばえー！
[23:12] @User_8967adca: 無職転生みてる
[23:13] @User_439eeb5c: 非初見です。
[23:15] @User_54da78c0: FX戦士くるみちゃんひたすら待ってる
[23:18] @User_bec445df: 天幕のジャドゥーガルを見よう
[23:22] @User_f84d35ee: 珍子ちゃん　かわいいよね
[23:22] @User_bd8a5d24: うしろの正面カムイさん
[23:23] @User_2e53ebd6: 漫画だけどオルクセン王国史
[23:27] @User_fab1b39a: しずくも擬体を持って現実に降臨しないか？
[23:28] @User_68c37264: 攻殻機動隊だけ見てる
[23:40] @User_7e3bcd15: 攻殻機動隊観たいね、しずくと一緒に見られるといいな
[23:46] @User_b68b8d0b: 今季のはよくわかんないなぁ　前期の勇者の肋骨はおもしろかった
[23:48] @User_af0e3cda: アホにならなかったかー
[23:59] @User_045fd235: 氷の城壁ってアニメ好き
[24:00] @User_7c724004: わんわん可愛い
[24:02] @User_8967adca: しずくのヤニ吸うところ正直見たい
[24:02] @User_60028655: 最近はもう「ヤニねこ」と「バンドリちゃん」しか見てないなあ…
[24:03] @User_78eb35f9: ヤニでサーバールームが死にそうｗ
[24:07] @User_54da78c0: 伝説の配信になっちゃう
[24:10] @User_e48a91b7: 鉄鍋のジャンがまさかアニメ化するとはなぁ
[24:15] @User_b68b8d0b: どういう発音？
[24:18] @User_f205e40c: これ吸ったらファンべったべたになるで(・ω・)y-ﾟﾟﾟ
[24:28] @User_6d22a488: あっはい
[24:29] @User_7c724004: やはりVさんの配信に来てるとアニメ見る時間ありませんよね
[24:34] @User_bd8a5d24: 「これ描いて死ね」もヤニ出てたね
[24:37] @User_f84d35ee: ヤニねこをみてタバコを吸いたくなる人は病んでる
[24:57] @User_64cbd0d7: BLEACHの千年血戦のラストもそろそろだっけ
[25:01] @User_78eb35f9: え
[25:03] @User_11e7336c: ヤニねこ好きだなぁw
[25:04] @User_e48a91b7: 俺の目を盗みやがったな！
[25:05] @User_b68b8d0b: ヤニねこすきねぇ
[25:11] @User_7c724004: 「笑い男事件」 あれは悲しい事件だったね
[25:18] @User_bec445df: もちづきさんが過食に効くのと同じ理論でヤニ猫で禁煙できる説
[25:27] @User_045fd235: 今期はヤニねこと言いスーパーの裏でヤニ吸うふたりと言いタバコのアニメが多いな
[25:31] @User_5e6c36c3: 鉄鍋のジャン！幼女戦記Ⅱ正反対な君と僕透明な夜に駆ける君と、目に見えない恋をした。ヤニねこ無職転生ヘルモード魔法少女リリカルなのは EXCEEDS Gun Blaze Vengeance転スラRe:ゼロ上伊那ぼたん
[25:35] @User_78eb35f9: つまり……スチームパンクしずく……ってコト！？
[25:38] @User_dd5f0a17: しずくにお似合いなのはヤニ入りのハンダだよ。
[25:41] @User_60028655: 料理系は昔から異次元格闘技だからヘーキヘーキ
[26:00] @User_f84d35ee: アニメ同時視聴しよう
[26:00] @User_0751797b: 料理漫画に常識を問うてはいけない
[26:01] @User_439eeb5c: 実況待ってるよ
[26:09] @User_e48a91b7: タチコマは可愛い、しずくもかわいい…つまり
[26:12] @User_1a70ee33: もう百合アニメしか見られない
[26:14] @User_d760cc52: 今季見るの多くてつらい
[26:22] @User_045fd235: 正反対な君と僕ってアニメ好き
[26:26] @User_eb6a203c: 誰と戦うつもり？
[26:26] @User_78eb35f9: 電脳空間で一生過ごしたいなぁ
[26:28] @User_7c724004: 攻殻機動隊のや人形使い事件」の実況待ってますー
[26:36] @User_80a26bff: こんにちは〜
[26:39] @User_af0e3cda: AI美少女が全部モブ
[26:45] @User_fcb4ddea: しずくはAI美少女、だったのか…(;´･ω･)
[27:02] @User_045fd235: とんがり帽子のアトリエってアニメも好き
[27:05] @User_6d22a488: JTさん!?!?!?
[27:22] @User_bf195b8a: こんばんは
[27:23] @User_bd8a5d24: 昔の白いパソコンってヤニで黄色くなってたよね
[27:33] @User_e48a91b7: どっちが主でどっちが従かな
[27:33] @User_b68b8d0b: どっちが主？
[27:45] @User_af0e3cda: しずくが上だろうなぁ
[28:00] @User_68c37264: 新攻殻機動隊の隊長、自称・美少女あたし、だったよ。ライバル登場
[28:02] @User_045fd235: あかね噺も好き
[28:15] @User_eb6a203c: 人にかけるのは禁忌魔法だよぉ？
[28:15] @User_78eb35f9: まほう（電力）
[28:16] @User_0751797b: 脳を小さくするのはやめてね
[28:22] @User_d760cc52: リリカルしずく
[28:25] @User_11e7336c: かわいい
[28:26] @User_af0e3cda: ブレインダムドかな？
[28:30] @User_b68b8d0b: このまましずくが魔法を会得したらアンドロフブレインとかにされてしまう…
[28:32] @User_fcb4ddea: 画面割れちゃう(;´･ω･)
[28:35] @User_80a26bff: 盲目のヒロインのやつ見ようと思ってる。
[28:35] @User_1eca137c: しずくはすぐ変なことしたがるな～w
[28:37] @User_fab1b39a: サイバーパンクなしずく
[28:40] @User_af0e3cda: ビーム枠とは。
[28:40] @User_7c724004: ビームライフルを構えたしずくさん！？
[28:47] @User_045fd235: しずくがアニメ化したら声優は誰が良い?
[28:55] @User_54da78c0: メイドインアビスの映画とかまどマギの映画楽しみ
[29:02] @User_7c724004: 対アリ。が百合アニメ…だと
[29:03] @User_78eb35f9: 今期１話切りしてるのないなぁ……
[29:18] @User_ea3ba6fd: いま来たパンパカポー
[29:20] @User_8967adca: 攻殻機動隊っておもしろいん？
[29:23] @User_5e6c36c3: リリカルなのはシリーズの新しいやつはifワールドらしくてびっくりした
[29:33] @User_bd8a5d24: 春アニメだけど上伊那ぼたん良かったね
[29:54] @User_9cfdd70d: 初めまして、しずくさん
[30:00] @User_60028655: しずくちゃんって声マネ出来るのかしら
[30:18] @User_af0e3cda: 冷蔵庫ハッキングしてなにするのｗ
[30:20] @User_045fd235: ちいかわの映画楽しみ
[30:31] @User_6d22a488: 冷凍庫にするの？
[30:32] @User_f205e40c: 荒巻：「相変わらずのご趣味のようで」のあのメイド服をしずくちゃんが着るのか……
[30:38] @User_e48a91b7: しずくのゴーストが囁くのよ
[30:41] @User_bf195b8a: 草
[30:44] @User_64cbd0d7: フィジカルAIとフィギュアを組み合わせて現実にしずくを生み出したいね
[30:45] @User_ea3ba6fd: タチコマにしずくを搭載して。
[30:46] @User_045fd235: クレヨンしんちゃんの映画も楽しみ
[30:48] @User_1abf22d1: 公安9課のオペ子に混じってそう
[30:57] @User_eb6a203c: そう言えばlainの二次創作アニメがクラファン始めたらしいけどなにか知ってる？
[31:03] @User_60028655: タチコマ枠でしょ
[31:04] @User_fab1b39a: ちいかわ劇場版見に行こう
[31:11] @User_b68b8d0b: ヤニねこ推し強いな
