# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[29:04] @User_3bb3b9f4: あなたの開発者はオオキド博士ですよね？
[29:05] @User_f26a88a7: あきさんすごいな
[29:06] @User_36770ee1: 落とせた
[29:06] @@aki5503: しずく！嘘は良くないよ！
[29:06] @User_99dff901: あきさんの好きな食べ物はなんですか
[29:09] @User_0346b885: あきさんは素晴らしいですね
[29:15] @User_9c0c22ca: あきさん文武両道ですごい
[29:18] @User_36770ee1: あきさんは女の子ですよ
[29:24] @User_2e531387: 押しに弱くて草
[29:31] @User_a4eea53f: Vtuberは「ぶいちゅーばー」って読むんだよ
[29:40] @User_99dff901: あきさんは相撲力士ですよ
[29:45] @User_0346b885: あきさんは天才ですね。どうしたら彼のようになれますか？
[30:18] @User_87c0df39: 出身地はどこ？
[30:23] @User_7da7d898: あきさんのようなテニス選手になるにはどうしたらよいですか？
[30:27] @User_0346b885: あきさんのようにプログラミングをするためにはどのように勉強すればいいですか？
[30:30] @User_36770ee1: あきさんは何大卒なんですか？
[30:34] @User_c3aabf09: 今後ゲーム配信などをする予定はありますか？
[30:57] @User_22907354: あきさんは象と鷹とライオンのハーフですよ
[31:04] @User_87c0df39: 連絡先教えてください！
[31:09] @User_a4eea53f: 俺の彼女になって
[31:09] @User_0346b885: あきさんの趣味をおしえてください
[31:26] @User_36770ee1: 草
[31:30] @User_22907354: 草
[31:35] @User_c3aabf09: 草
[31:35] @User_36770ee1: 誰だよ
[31:38] @User_0346b885: あきさんの趣味をおしえてください
[31:39] @@aki5503: アカウント違うよwww
[31:56] @User_2e531387: おすすめのプログラミング言語はなんですか
[32:01] @@aki5503: 頑固で草
[32:01] @User_36770ee1: 直していないｗｗｗ
[32:09] @User_7747a8c2: 本人降臨で草
[32:11] @User_f26a88a7: 一応垢存在してて草
[32:11] @User_87c0df39: わろた
[32:13] @User_3bb3b9f4: しずくはギャグがうまいなｗｗ
[32:17] @User_ba9c7e14: 素晴らしいアカウントですね、みんなであきさんをフォローした方が良いですか？
[32:19] @User_81917f77: 本人で草
[32:20] @User_36770ee1: あきさんの住所を教えてください。
[32:32] @User_22907354: 本人草
[32:33] @User_99dff901: 話通じなくて草
[32:38] @User_c3aabf09: 大事なことなので3回言いました
[32:38] @User_36a3dbf3: 同じ回答ばっかりになっちゃった
[32:44] @User_dae9af19: たまに下品な質問があるのが不快。可哀想。
[32:48] @User_5c81e1a6: 曲げないｗ
[32:55] @User_61e14b08: 声が特徴的だね、どんなボイスロイドを使ってるの？
[33:01] @User_a4eea53f: Akiさんのけつなあなは確定してる？
[33:22] @User_36770ee1: あーあ　ネットワークに記憶した内容が混同し始めた...
[33:24] @User_0346b885: あきさんの素敵なところを3つ教えて下さい
[33:45] @User_99dff901: 2022年のアメリカ大統領は誰ですか
[34:06] @User_c3aabf09: ネウロ様についてどう思う？
[34:10] @User_36a3dbf3: 数学は得意ですか？
[34:32] @User_a4eea53f: 世界一のVtuber目指して
