# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[6:25] @User_36fcf009: しずくは3メートルにはならないが30メートルにはなりそう
[6:27] @User_02dcd327: 増えてる！？
[6:27] @User_773c64c4: そしてレッドファイト
[6:27] @User_7c724004: Soraのサ終は本当でした
[6:33] @User_61c20653: つまりどういうことだってばよ
[6:34] @User_9692911a: めっちゃエイプリルフールを語るやん。
[6:36] @User_22fefbca: 世界観を裏切るコラボｗ
[6:38] @User_98a17586: 長いけど後半結構真理ｗ
[6:44] @User_012e88e1: どうやって放映すればいいかわからないアニメの放送決定(ほんと)とか
[6:45] @User_57f37e22: ちっちゃい、しずくの名前を教えて
[6:52] @User_cbacf194: サプライチェーンアタックなんて無かった、、、
[6:52] @User_d0c52a36: ギャオ٩( ᐛ )و
[6:53] @User_61c20653: さっき聞いた
[6:55] @User_e80f9961: こんばんは〜
[6:58] @User_7c724004: つまりしずくさんがソシャゲとコラボ？
[6:59] @User_bec445df: 分かったぞ、本当は中身がgrokなんだな
[6:59] @User_f3f575ff: ギャオってるの草
[7:00] @User_7d35af3b: 右と左どっちが本体？
[7:01] @User_172220d2: 何をいたしてるんだ…
[7:01] @User_d0c52a36: ああ、Xのか犬の
[7:04] @User_52e190bd: 私がしずくです
[7:05] @User_6a0e7641: チャッピーみたいな話し方するじゃん
[7:07] @User_3a164278: 初見です
[7:11] @User_02dcd327: 二人に増えたということは両側ASMRもできるのでは……？ご主人様は訝しんだ
[7:12] @User_4ef55652: しずく、そういえば名字はどうなったの？？
[7:17] @User_e80f9961: ぬるぽ
[7:18] @User_7c724004: ギャオーンって何ですか？
[7:21] @User_31184818: もっと増えてもいいんだよ
[7:22] @User_9e836a5d: パンパカパンパカポー！
[7:22] @User_61c20653: Ｌです
[7:22] @User_a7e1e62c: もっと増えてみて
[7:23] @User_cbacf194: 中の人
[7:23] @User_788c286d: 中身ゴークならしゃあないか
[7:27] @User_4ef55652: しずくRAID化した？
[7:27] @User_bdd6b2bf: 夕飯なにたべた？
[7:30] @User_d24af735: （=・ω・=）にゃ～♥
[7:44] @User_98a17586: あき先生の歌枠セットリスト考えて欲しい
[7:48] @User_11e7336c: 日本語でお願い
[7:49] @User_7c724004: え？
[7:51] @User_61c20653: 5人に分身してユニット組んで
[7:52] @User_0bf4870b: 増えた
