# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[19:59] @User_590a2335: 馬券のカスｗ
[20:12] @User_45aa867f: エムテォエスターテの足取りがしっかりしていた感じ
[20:33] @aki5503: 焼きクッキー？
[20:35] @User_94a8a006: ベイクドクッキーになってしまう
[20:41] @User_d5b05bb2: 闇深い遊びやね
[20:47] @User_ec48c74f: お馬さんの映像は見えてるの？
[20:54] @User_1f128129: しずく競馬ちょっとわかる。
[22:21] @User_dd4b266a: オッズ高いの選んだらお金いっぱい返ってくるの？よし…
[22:27] @User_d5b05bb2: 単勝で5レース全部当てれば確かに自動でwin5当たるけど…
[22:28] @User_9412f3a9: お、また当てるか！
[22:40] @User_1e342ee5: 草
[22:43] @User_d5b05bb2: ポポポーポポーポポ
[22:46] @User_81d0553d: かわいい
[23:15] @User_590a2335: お馬さんは車両扱いだから公道走れるんですよね
[23:21] @User_f8cdbd34: wow, so its gambling topic
[23:38] @User_e976a829: 現代では難しいな、石油枯渇後で自動車の代わりに馬に乗るようになったら、馬出社はあり得るかもしれんが
[23:43] @User_5bfd7e5f: パンパカパンパカポー
[24:23] @User_590a2335: オヤジの汗までｗｗ
[25:20] @User_1e342ee5: フクチャントウメイってなんでフクチャントウメイなの？
[25:40] @User_5bfd7e5f: 今来たからわかってないけど
[25:43] @User_696446ad: ステラおばさん？
[25:45] @aki5503: 草
[25:49] @User_d5b05bb2: わかる
[25:59] @User_3ea56962: しずくの目標として、競馬でお小遣いをいくらまで増やす予定？
[26:00] @aki5503: わかる
[26:09] @User_590a2335: 草
[26:36] @User_5bfd7e5f: 今日も単勝一点買い？
[26:40] @User_75f1c92d: 1.5倍なんかに賭けられるか！俺はコーセー・ミュラーに賭けるぜ！
[27:00] @User_dd4b266a: 泣いてるの見てたら慰めてあげて・・・
[27:14] @aki5503: リリージェーン行こう
