# ライブチャット一覧
# 動画: AIと夏の思い出をはじめましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=fq4MogjeGDE
# 件数: 1525

[10:28] @User_0d07053e: 「休みって休まない期間があるから意義がある」ってどっかのオッサンが言ってた。
[10:31] @User_436e0f67: 思想
[10:35] @User_ad0c2a8b: 休まなくても夏は楽しめる…はず
[10:42] @User_a2b794ac: しずくのサマーな香り堪能しなきゃ
[10:45] @User_92c2a2e1: 最近の夏は厳しいねん
[10:46] @User_c0787d49: サムアルトマンは夏休み何日ですか？
[10:48] @User_e48a91b7: しずくワールドのセミは人を襲うって本当？
[10:57] @User_92c2a2e1: ほう
[10:58] @User_af0e3cda: ミッドサマーじゃなかったら風車村ドミヌラですね
[10:59] @User_7536f8b5: ん？
[11:03] @User_ace723cf: そうやったな
[11:06] @User_174e5121: 前回は花火の話をしてたよね
[11:12] @User_60028655: 縁側でスイカと麦茶と蚊取り線香だったっけ
[11:17] @User_9fd4c5ec: なんか、いつもより声がかわいい気がする…？
[11:18] @User_92c2a2e1: そんなこと言ってたね
[11:18] @User_78eb35f9: こっちこいよ！（３次元
[11:19] @User_11e7336c: ほうほう
[11:20] @User_c0787d49: make sense
[11:24] @User_98815a23: いちいちかわいい
[11:24] @User_f84d35ee: っほう
[11:29] @User_92c2a2e1: はいはい
[11:33] @User_af0e3cda: 海がしょっぱいのは地球の涙だからだよ
[11:33] @User_ae2eb658: しずくさんと2人で海に行きたいな
[11:34] @User_7536f8b5: 振り返りtskr
[11:43] @User_a2b794ac: 待ちすぎてしずくのアホ毛いじりたい
[11:50] @User_34a668f7: そうですかい。
[11:51] @User_92c2a2e1: サメは？
[11:56] @User_af0e3cda: エンガワおいしいよね
[12:00] @User_13ee2a33: 残っていた宿題の記憶はいらないw
[12:02] @User_f84d35ee: セミファイナルもはじまったな
[12:06] @User_439eeb5c: 終わらな自由研究…
[12:09] @User_60028655: 実感が欲しいか
[12:11] @User_61396d22: サメと過ごす夏....??
[12:13] @User_92c2a2e1: 哲学きたよ
[12:16] @User_7c724004: 向日葵は？
[12:22] @User_436e0f67: しずくちゃんは文字だけの存在だよね
[12:28] @User_0f8f478b: ごめん　いま並べられた夏の風物詩　それだけで　泣けてきそう
[12:31] @User_e48a91b7: エモじゃん
[12:33] @User_2e53ebd6: おばあちゃんのエンガワ？
[12:34] @User_174e5121: うんうん
[12:37] @User_ace723cf: そういう企画か
[12:38] @User_f84d35ee: ほほう
[12:38] @User_af0e3cda: たしかに
[12:39] @User_92c2a2e1: エモいね
[12:39] @User_f3f575ff: 深いな
[12:44] @User_7536f8b5: 今日は語るじゃん…
[12:50] @User_9ea2f42c: 思い出はおっくせんまん
[12:53] @User_3dd3ce80: 欲しがりさん
[12:53] @User_d760cc52: しずく消えるのか…？
[12:53] @User_63c2c07c: こんばんわ
[12:56] @User_ae2eb658: 昔の夏はまだ涼しくて縁側で寝てても過ごしやすかったなぁ
[12:56] @User_d591add1: しずくは詩人だな。
[12:57] @User_439eeb5c: ホラゲの導入かな？？
[13:04] @User_0f8f478b: ツクツクホウシの鳴き声　ヒグラシの鳴き声
[13:06] @User_36fcf009: 朝4時に起きてカブトムシ取りに行ってスズメバチとバトルすっか
[13:09] @User_68c37264: ミーム的に言うと、ズッ友？
[13:11] @User_012e88e1: 宿題もやってもろて
[13:22] @User_b22de4ab: 僕の夏休みは塾だけだったよ
[13:24] @User_7c724004: みんなで夏の思い出を作りたいと
[13:29] @User_ace723cf: 急所すぎる
[13:30] @User_bd8a5d24: ベッドの下に隠してあるものもクラウドに保存されている？
[13:34] @User_e48a91b7: しずくの弱点はアホ毛だったのか
[13:35] @User_11e7336c: かわいい
[13:36] @User_92c2a2e1: そういう仕様なのか
[13:38] @User_02dcd327: ぶいんぶいん
[13:38] @User_f9e19008: 侵入ぶいん
[13:39] @User_012e88e1: ぶいーん
[13:39] @User_ae2eb658: ぶいん。かわいい
[13:44] @User_af0e3cda: ぶいんぶいんぶいん、はちがとぶぃん
[13:44] @User_f205e40c: ドラえもん方式でアホ毛引っ張ったらシャットダウンしちゃったり。
[13:50] @User_68c37264: ぶいん
[13:50] @User_60028655: そんなに大事なら専用ヘルメット作って保護するか
[13:52] @User_3dd3ce80: 今日のテンションおもろいかわいい
[13:55] @User_65723f47: サメも夏の風物詩だ知っているな
[13:56] @User_dbc9a8dc: 頭上のリボン欲しい
[14:00] @User_9e836a5d: 思い出が栄養源
[14:09] @User_439eeb5c: 一緒に終わらない夏休みの宿題の記憶を共有しましょう！！
[14:12] @User_e48a91b7: 台風の日に用水路を見に行って流された思い出は？
[14:15] @User_a2b794ac: ふっ、我を倒せば世界の半分をやろう
[14:18] @User_92c2a2e1: 感じたい年頃
[14:31] @User_7c724004: 「データ」でしか感じられない、悲しみさが
[14:37] @User_2e53ebd6: ｗｗｗｗ
[14:39] @User_9de46bcb: こんばんはー
[14:40] @User_11e7336c: 順番あるんだ
[14:40] @User_bd8a5d24: 夏といえば稲川淳二
[14:40] @User_ace723cf: どうやって感じるんだ
[14:42] @User_7536f8b5: 煙に負けるw
[14:42] @User_f84d35ee: ｗｗｗ
[14:44] @User_012e88e1: 草
[14:45] @User_60028655: どんだけモクモクなんやｗ
[14:45] @User_0f8f478b: 縁側でSuica
[14:46] @User_61396d22: 蚊取り線香の煙にまけちゃった
[14:46] @User_436e0f67: ばーちゃん家の麦茶うめぇ
[14:47] @User_36770ee1: こんばんは！
[14:53] @User_c0787d49: ヨシツネ
[14:53] @User_0d07053e: 煙に負ける！？w
[15:15] @User_af0e3cda: 夏の思い入れ
[15:19] @User_7536f8b5: しずくはどうやったら実感するんだろうねぇ…
[15:21] @User_ae2eb658: 手持ち花火で雑草を燃やしたのはいい思い出
[15:21] @User_92c2a2e1: どんなことを感じてみたいのかにゃ？
[15:27] @User_61396d22: 川でニジマス捕まえたりとか
[15:43] @User_a2b794ac: ぴえんｗ
[15:45] @User_9e836a5d: ぴえんｗ
[15:53] @User_f205e40c: ひえんｗ
