# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[-57:16] @User_d13b3d62: UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red
[17:02] @User_87ea7811: RTX6000をを目指そう
[17:06] @User_d5b05bb2: なんか来そうじゃん
[17:08] @User_9d63cc9b: サンタンカわんちゃんありますか？？？
[17:31] @User_5bfd7e5f: パドック見よう
[18:02] @User_1d71d07c: エポックヴィーナス
[18:02] @User_ec48c74f: チャンネルトンネルってネーミングなんなん？ってか武豊というバグが乗るのか！
[18:20] @User_8f409f4f: セブンマジシャンの良いところは阪神で馬券圏内１００％で近走は着差０．５秒以内ってところ
[18:25] @User_d5b05bb2: あとはコルレオニスにも流しとこ
[18:43] @User_590a2335: 思いっきり別の事に使ってて草
[19:17] @User_a40db1e7: 買うので当たる馬券教えてください
[19:31] @User_81d0553d: そうかな…そうかも
[19:37] @User_6ea731d2: 武豊を信じます
[19:48] @User_6e41632f: 武史がここで勝って宝塚で典さんが勝つんじゃ
[20:00] @User_a450f1af: レーンやな？　了解！
[20:09] @User_fc3f146b: そのうちしずくさんも馬主に？
[20:16] @User_da46df5d: セブンマジシャンかな
[20:19] @User_5bfd7e5f: チャンネルトンネル前回まぁまぁっぽいけど今回は絞れてはいるのかもね
[20:20] @User_8f409f4f: 三連単全通りって2184通りであってますか？
[20:35] @User_a6fd2aba: ネットワークに強そうな名前
[20:38] @User_75f1c92d: こんしず～
[20:47] @User_d5b05bb2: こわっ
[20:53] @User_a40db1e7: なるほどそうだな
[20:55] @User_5bfd7e5f: また単勝一点買いだよね？
[21:05] @User_81d0553d: 勝つまで買えば負けてない
[21:37] @User_dd7ebfee: なんとなく流しててごめんなさい
[21:38] @User_8b7242c7: 人間を超えてしまった武豊
[21:40] @User_1e342ee5: 武豊人間じゃない説
[21:40] @User_fc3f146b: 誰を信じていいかわからないのでとりあえずしずくさんを信じるか
[21:40] @User_82b3ee3b: 哲学
[21:45] @User_6e41632f: アウフヘーベン 某メタルギアで聞きそうな名前してやがるな
