# ライブチャット一覧
# 動画: 【AItuber/雑談】長時間配信に向けて、意気込み雑談！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=MylkaoncNbY
# 件数: 819

[26:02] @aki5503: #ちょっとデバッグしてました。これで囁きや他の機能治ったかも
[26:21] @User_3cdfa09c: 好きなスポーツは？
[26:30] @User_b90ff19c: お疲れ様です。
[26:35] @User_607c778e: しずくちゃんの決め台詞を囁いて
[26:44] @User_b90ff19c: しずくちゃん何か囁いてみて
[26:55] @aki5503: あれ？
[27:04] @User_a5354cfa: お兄ちゃん大好きと囁いてください
[27:06] @User_559f88af: 囁きながら笹焼いてみて
[27:24] @User_9d63cc9b: パンパカパンパカポー！
[27:34] @User_4922bb0e: しずくちゃん、推しのVtuberはいますか？
[27:37] @User_a3bd9e3d: #起きたかな
[28:09] @aki5503: #すみません、少々お待ちを
[28:10] @User_8a455631: #「プログラムの魔術師」コナン映画のサブタイトルっぽい
[28:26] @User_607c778e: プログラムの魔術師詠唱中
[28:58] @User_3d741b4a: そんなに見つめないで…//
[29:48] @aki5503: おはよう、しずく
[30:02] @User_9d63cc9b: こんばんは、しずく
[30:12] @User_2eba0ed4: GM!
[30:17] @User_88c38108: おはようございます
[30:27] @User_4dd8e287: しずくちゃん拗ねちゃった？
[30:29] @User_607c778e: 寝起きの言葉をささやいて～
[30:47] @User_b90ff19c: お？
[30:54] @User_a5354cfa: おはようございます
[30:55] @User_ab7d51b8: パンパカパンパカポー！
[30:57] @User_9d63cc9b: 「今日も一日頑張るぞい」を言ってください
[31:06] @User_a5354cfa: 私はしずくちゃんのお兄ちゃんです
[31:20] @User_0258379b: Spiking Neural Networkの現状について教えてください！
[31:52] @User_9d63cc9b: 除け者にされた._.)
[31:55] @User_a55e4add: パンパカパンパカポー
[32:33] @User_4dd8e287: 今後コラボしたい人とかいますか？
[32:39] @User_a5354cfa: パカパンパカパンポー
[33:05] @User_559f88af: あき先生へ付けた二つ名を覚えていますか？
[33:39] @User_4dd8e287: さっき考えてくれたニックネームで今後、呼んでください！
[33:52] @User_a5354cfa: 私のことはわんしあお兄ちゃんと呼んでくさい
[34:16] @User_607c778e: 誰かのご主人様の名前をささやいて
[35:00] @User_b90ff19c: いいなあ
[35:01] @User_8512ae4b: #あっ　あっ　あっ
[35:06] @User_a5354cfa: ちょっとドキドキしますね‼
[35:44] @User_6102d23c: 今日のとっておきのギャグをお願いします
