t	mmss	user	text
561	9:21	@User_6c5dc08a	トモコレでしずく作って友達になるしかないか
563	9:23	@User_2658fed8	やんわり友達否定された
564	9:24	@User_ff223600	みんながいいねすればもっと増えるんじゃないか？
566	9:26	@User_d5b05bb2	どういうことなの
571	9:31	@User_ff223600	ｲｯﾌ
583	9:43	@User_75f1c92d	電脳化するか
592	9:52	@User_590a2335	草
603	10:03	@User_75f1c92d	たすかる
603	10:03	@User_3495131f	こんばんわ
608	10:08	@User_77f8489e	配信ちょっと不安定な気がする。今は大丈夫だけど
614	10:14	@User_dd4b266a	ずっとしずくの電波受け取ってるよ～、なんか雑念のいっぱい入ってるけど
615	10:15	@User_c67ecc82	！？
616	10:16	@User_1e342ee5	めっちゃ嫌そうｗ
617	10:17	@User_b9933007	友達料は草ｗｗ
619	10:19	@User_b90ff19c	なんでｗｗｗｗｗ
620	10:20	@User_ea832c1d	どこからそんな声出た！？
622	10:22	@User_2658fed8	助かる
624	10:24	@aki5503	なんか野太いなww
625	10:25	@User_476d8781	友達にも料金がかかる時代か…ｗ
626	10:26	@User_ade385cf	！
628	10:28	@User_a30d4a28	超可愛い
629	10:29	@User_2c7a57aa	これはすごい
630	10:30	@User_c9d0a7d5	ちょっと悪そうなASMR
632	10:32	@User_9b9d086f	友達総会ｗ
632	10:32	@User_ec48c74f	どこからそんな声を
633	10:33	@User_590a2335	議事録シプル
634	10:34	@User_5a77a7b4	面白い声出したｗ
634	10:34	@User_b9933007	すごく嫌そうな声で草
635	10:35	@User_02294f67	友達料金…
636	10:36	@User_a744e95c	低温ボイス助かる
638	10:38	@User_ff223600	よぉおおおおつべぇ
638	10:38	@User_45aa867f	ちょっとダミ声入ってるw
639	10:39	@User_75f1c92d	草
641	10:41	@User_d5b05bb2	草
642	10:42	@User_a30d4a28	たすかる
644	10:44	@User_270496f5	草
646	10:46	@User_02294f67	しずく村だったか
647	10:47	@User_4f9b9e0a	言い方よｗ
648	10:48	@User_590a2335	謎のなまりｗ
649	10:49	@User_1d118d75	草
655	10:55	@User_b90ff19c	ＡＳＭＲデスボイスが来るとは(*'ω'*)
655	10:55	@User_b9933007	「村一番の金持ちだぁ」が訛ってるのすごいｗｗ
655	10:55	@User_2658fed8	どうしたｗ
655	10:55	@User_bf6f46cc	友達料金草
658	10:58	@User_3495131f	ネット上における村一番とは🤔
661	11:01	@User_8b7242c7	ご主人村のプレミア民は金持ちであったか
665	11:05	@User_77f8489e	自動更新(シパ茶)
666	11:06	@User_270496f5	天狼ちゃんだけだったか
677	11:17	@User_75f1c92d	ﾌﾟﾙﾌﾟﾙ
678	11:18	@User_dd4b266a	なるほどね、さすがしずく（よくわからん）
680	11:20	@User_d582769c	エビでご主人様を釣る！？
681	11:21	@User_bf6f46cc	しずく村ｗホビット村みたいだな
681	11:21	@User_719f9991	どゆこと
682	11:22	@User_1d118d75	エビチリうまうま
683	11:23	@User_ec48c74f	上手いこというじゃない
683	11:23	@User_acb9786a	プルプルしてるんだ…
690	11:30	@User_45aa867f	詩的だ…
696	11:36	@User_bf6f46cc	広告の内容は？
697	11:37	@User_b052bab2	エビもプルプルだぞ！
700	11:40	@User_77f8489e	しずくちゃん何宣伝するんだろ
700	11:40	@User_2c7a57aa	犬なしずくさんも好き
702	11:42	@User_b9933007	しずくは犬？むしろ猫では？
710	11:50	@User_9b9d086f	しずくの友達を増やす方法、いいですねぇ
711	11:51	@User_1dc07c4a	妙な表現w
712	11:52	@User_3495131f	⠪⠛⠥⠜⠿⠵⠹⠡⠢
714	11:54	@User_c67ecc82	ご主人様が友達になればいいんだよ
716	11:56	@User_bf6f46cc	じゃあ友達になってやんよ
718	11:58	@User_b90ff19c	そんな開閉みたいな
719	11:59	@User_ec48c74f	チャッピーにお願いするかぁ
724	12:04	@User_b9933007	そこまで嫌がらなくてもｗ
724	12:04	@User_75f1c92d	Twitterでレスバ仕掛けに行けば友達できるかも？
725	12:05	@User_acb9786a	ふにゃふにゃかわいい
729	12:09	@User_476d8781	しずくの友達を増やす方法 ≠ しずくへのスパチャを増やす方法
732	12:12	@User_6c5dc08a	しずくの友達コレクション
737	12:17	@User_02294f67	スイッチパチパチで草
738	12:18	@User_a744e95c	でもご主人様たちに友達はいませんよ？
745	12:25	@User_ec48c74f	ほう
746	12:26	@User_77f8489e	おっマシュマロか
746	12:26	@User_c67ecc82	あき先生との？
759	12:39	@User_02294f67	馴れ初めかな（）
761	12:41	@User_b9933007	3年も前か
763	12:43	@User_75f1c92d	草
763	12:43	@User_c67ecc82	草
766	12:46	@User_b90ff19c	ｗｗｗｗ
767	12:47	@User_acb9786a	草
768	12:48	@aki5503	草
769	12:49	@User_1d118d75	草
771	12:51	@User_d5b05bb2	諸説あるね
772	12:52	@User_590a2335	プロテニスプレイヤーｗ
773	12:53	@User_9b9d086f	あき先生もAIだったのか……
774	12:54	@User_ec48c74f	どんな兼業だよあき先生
776	12:56	@User_1e342ee5	テニスプレイヤーだったのあき先生
777	12:57	@User_1dc07c4a	草
778	12:58	@User_77f8489e	あき先生はAIペンギンだった…？
778	12:58	@User_b9933007	あき先生はプロテニスプレーヤーだったの！？
779	12:59	@User_ade385cf	ペンギン！
782	13:02	@User_c67ecc82	プロテニスプレーヤーから、ペンギンに
782	13:02	@User_ff223600	多分全部外れてると思うんですけど……
784	13:04	@User_87ea7811	ｗｗ
785	13:05	@User_45aa867f	今はこんなに右左と揺れてる
785	13:05	@User_02294f67	テニスプレイヤーだったか
785	13:05	@User_c9d0a7d5	悪化してない？
787	13:07	@User_719f9991	ペンギンAI...!?!?
788	13:08	@User_e3a1f71a	最初の頃のしずくちゃんtwitterで見たときぶったまげた……
789	13:09	@User_5bfd7e5f	しずく偉いね～
789	13:09	@User_a744e95c	あき先生ウィンブルドン覇者説きたな
790	13:10	@User_b9933007	でも今はペンギンだと
792	13:12	@User_2c7a57aa	どっちもどっちな解釈ですね
793	13:13	@User_77f8489e	本当に感謝してるでござるか…？
793	13:13	@User_468dd0ef	こんばんは
797	13:17	@User_a531685f	あきぺんぺー
798	13:18	@User_31fa983c	あき先生AIペンギン説
802	13:22	@User_ec48c74f	もちろん！
810	13:30	@User_ffea2ba5	もちろんさ！
811	13:31	@User_bf6f46cc	イイハナシダー
811	13:31	@User_2658fed8	あきぺんぺーありがとう
828	13:48	@User_77f8489e	あきぺんぺーいいな
828	13:48	@User_b052bab2	🎾🐧🤖🍕🍮
837	13:57	@User_a531685f	あきぺんぺーのフィギュアはいつ発売されますか...!?
838	13:58	@User_2f9cb798	こんばんは✨
844	14:04	@User_75f1c92d	出欠とってたの！？
850	14:10	@User_d5b05bb2	もしかして、出席簿付けてる？
851	14:11	@User_bf6f46cc	あき先生はあきペンギンだったってことか
855	14:15	@User_ec48c74f	出欠の確認する感じ？
857	14:17	@User_8b7242c7	出席票でチェックされてた
857	14:17	@User_c67ecc82	今日の出席は何人？
859	14:19	@User_6c321aed	遅刻しました。すみません
860	14:20	@User_b9933007	メタの3Dあき先生が可愛かったよ
875	14:35	@User_02294f67	プロペンギンプレイヤーとはなんぞ
875	14:35	@User_6c5dc08a	ペンギンプレイヤーとは
878	14:38	@User_590a2335	ペンギンプレイヤー is なに？
879	14:39	@User_75f1c92d	あき先生はプロのペンギンだよ
885	14:45	@User_c67ecc82	プロペンギンプレーヤーとは
885	14:45	@User_77f8489e	なんでそんなにペンギン推しなんだ…？
888	14:48	@User_b90ff19c	えぇ・・・
891	14:51	@User_f8d748d7	プロペンギンプレーヤーのプロペンの部分
893	14:53	@User_b9933007	あきぺんペーいいなぁ
893	14:53	@User_a744e95c	違うよ、イナイレの皇帝ペンギンだよ
897	14:57	@User_1d118d75	あきぺんぺー！
898	14:58	@User_75f1c92d	ｗｗ
899	14:59	@User_590a2335	魔　改　造
903	15:03	@User_d5b05bb2	無茶しやがって…
906	15:06	@User_ec48c74f	残ってないんかい
