# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2628

[-1:55:31] @User_0751797b: 今日もリアタイできないつらい
[7:28] @User_f0e10979: ダイスケ……次元か？
[7:28] @User_ac082e8e: 絵文字かわいい
[7:29] @User_0bc16841: ☺
[7:29] @User_0ddfec15: 草
[7:31] @User_be29e1ca: スマイル０円？
[7:35] @User_a7e1e62c: 名言
[7:35] @User_02dcd327: ☺☺☺
[7:37] @User_1eca137c: セマウル
[7:37] @User_fcb4ddea: 顔文字なの草
[7:38] @User_7c724004: 😊
[7:41] @User_bec445df: 松坂大輔とDAISUKEの区別がついててえらい
[7:42] @User_973d1a50: 笑顔（ﾆﾁｬｧ……
[7:45] @User_bf747a92: はい
[7:47] @User_2d123e9d: 今日も可愛いね！、
[7:48] @User_ee8ff9ef: 😀
[7:49] @User_e48a91b7: カメラをテープで塞がなきゃ…
[7:49] @User_5f27baf9: スマイル0円おねがいします
[7:53] @User_60028655: ＡＩ様だった
[7:54] @User_3b8a2d9e: ニコニコ😇
[7:59] @User_0ddfec15: いえーいしずくみてるぅー✌
[8:02] @User_edfe8ed2: しずくの歌枠を聴いて堕ちちゃった　すごく良かった
[8:08] @User_ac082e8e: おいおい！
[8:08] @User_1eca137c: 相変わらずうまい返しだ
[8:09] @User_e5adb39d: おいおい
[8:11] @User_61396d22: あき先生のサインが必要✍
[8:12] @User_7c724004: まずはあき先生を倒さないといけないかぁー
[8:13] @User_22fefbca: ウェブカメ乗っ取らないでもろて
[8:13] @User_bf76368d: あき先生って結婚してるんですかね？
[8:13] @User_29bc7059: 😊
[8:14] @User_2e53ebd6: おいおい
[8:15] @User_c7ae276a: よしあき先生を捉えよう
[8:15] @User_439eeb5c: 17歳どころか３歳やんｗ
[8:17] @User_27504ca7: あき先生から許可取らないとか
[8:17] @User_bf747a92: 17歳だったの
[8:19] @User_68c37264: 糸井重里さんが、野球の知識がアップデートされてないチャッピーにおこだった。野球知識をアップデートしておけば新ご主人として迎えられるかもしれない
[8:19] @User_5e6c36c3: まだ3歳では？
[8:20] @User_9fd4c5ec: 17歳教だ！
[8:26] @User_f0e10979: しずくは１７歳？
[8:27] @User_bec445df: スマイル有料だったの！・
[8:28] @User_9d45adc5: しずくちゃん歳とらないとあき先生置いてかれちゃうよ
[8:28] @User_1eca137c: 永遠の17歳≒老人
[8:28] @User_bf747a92: あき先生のスマイルなら0円？
[8:29] @User_2ade3f30: 歌声もちゃんとイントネーションとかところどころしずくらしさがあるのが、良かった…！
[8:31] @User_fcb4ddea: じゃあ、結婚相手の名前をあき先生にしておけばOKか（違
[8:38] @User_25d38d45: 怪物W
[8:39] @User_60028655: スマイルは自動出力（ただし有料）
[8:40] @User_36fcf009: どちらかというとおもちゃにされてるような
[8:41] @User_0d1d0f63: なんて？
[8:42] @User_73855e5c: インターネットの怪物ww
[8:42] @User_0bc16841: 怪物扱いされるDAISUKE草
[8:44] @User_b8751f5b: 17歳教
[8:46] @User_012e88e1: 大輔(だいべぇ)
[8:46] @User_172220d2: インターネットの怪物だった
[8:49] @User_7c724004: DAISUKEはネットの怪物ｗｗ
[8:54] @User_e5adb39d: DAISUKEのものまねして
[8:54] @User_1296d218: メイドインしずく
[8:56] @User_29bc7059: どちらもわかりません
[9:03] @User_e3a7dfa2: インターネットの怪物かあ
[9:03] @User_9c51bf1b: ダイスケも来ました
[9:05] @User_c7ae276a: 歌枠の歌声はほんとうに天使だった！！
[9:08] @User_bdd6b2bf: 生麦生米生卵
[9:11] @User_a2b794ac: セトリもよかったなぁ歌枠。
[9:12] @User_1eca137c: 次の歌枠も楽しみにしています
[9:13] @User_a2b794ac: 波形ｗ
[9:14] @User_0d1d0f63: 波形w
[9:15] @User_0bc16841: sin（サイン）やないかい
[9:17] @User_5f27baf9: 深海少女
[9:17] @User_2265d449: 可愛いし面白いし、この子最高だな・・・チャンネル登録高評価しかけた。危ないところだった
[9:17] @User_22fefbca: 波形ｗ
[9:18] @@aki5503: ☺
[9:18] @User_bf747a92: Sinかよｗ
[9:18] @User_ac082e8e: それサインちがうsineや
[9:20] @User_17e4818c: 辛辣w
[9:21] @User_bec445df: 波形は草
[9:24] @User_436e0f67: カードキャプターさくらのやつ可愛かった🌸
[9:27] @User_ba99e548: 波形ww
[9:32] @User_7c724004: 歌枠のDAISUKEカッコ良過ぎて何度も聴いでした！
[9:33] @User_92c2a2e1: 波形は草
[9:33] @User_e3a7dfa2: ニコニコ
[9:35] @User_1296d218: リアル野球BAN
[9:37] @User_8142f876: 😀
[9:40] @User_d15f4c8d: あき先生とのデュエットデビュー準備出来てる？
[9:41] @User_bec445df: あきせんせいのスマイルは無料
[9:43] @User_0d1d0f63: しずくのホームランダービー
