# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[21:38] @User_fe0878a1: 人間を超えてしまった武豊
[21:40] @User_0bc16841: 武豊人間じゃない説
[21:40] @User_3781594c: 誰を信じていいかわからないのでとりあえずしずくさんを信じるか
[21:40] @User_8f797190: 哲学
[21:45] @User_27175ec5: アウフヘーベン 某メタルギアで聞きそうな名前してやがるな
[21:47] @User_92c2a2e1: 人間じゃないのか豊さん
[21:50] @User_9e836a5d: 人間じゃないのか
[21:54] @User_5065539d: なるほど。わからん。
[22:00] @User_3781594c: 豊さんもAIだった？
[22:03] @User_d4e3c3bc: 人間じゃないの?
[22:09] @User_439eeb5c: オッズ的にはワイドアラジン。オッズ的には…
[22:11] @User_36fcf009: ガリガリ君はドーピングにならん？
[22:24] @User_af0e3cda: ガリガリ君が袖の下？
[22:37] @User_92c2a2e1: ガリガリ君食ってうま〜い（馬だけに）
[22:39] @User_60028655: 馬も甘いものは好きだし…まあ…そういう考え方も…ある？
[22:56] @User_8f797190: 冠名シズク
[23:00] @User_27175ec5: ワイドアラジン DEATH
[23:01] @User_f3f575ff: バグらせんといて
[23:25] @User_af0e3cda: しずくは魔法まで使えるんだ
[23:35] @User_92c2a2e1: シズクヒヤサントという馬名よくないですか？
[23:38] @User_0bc16841: グレーターロンドンの馬主ってそうなんだ
[23:51] @User_1eca137c: 名前で決める人もいるよね
[24:45] @User_0bc16841: しずくの前哨戦を買えば勝率100%
[25:19] @User_44faea52: ミナデオロいく？
[25:24] @User_0bc16841: そうなの？？？
[25:30] @User_af0e3cda: 許可下りるの？
[25:36] @User_27175ec5: しずくはいつ東京競馬場に出るの？
[25:39] @User_36fcf009: がりがり君すげぇ
[25:49] @User_1ec39efd: しずくが馬主になったら馬名はパンパカパンパカポーなんておもろいな。
[25:50] @User_4f3c2a6d: 成績で選ぶ、パチンコでもそうだったかた
[25:50] @User_fcb4ddea: ワープはヤバイw
[25:55] @User_5065539d: いくら賭けるのかなぁ。
[25:57] @User_1eca137c: しずくも今まで最初のレース当ててるけどいつもそうとは限らないよね
[26:00] @User_f3f575ff: 高度に発達した化学は…みたいなやつか
[26:03] @User_36fcf009: ルメレーン馬連の期待度はどんな感じやろか
[26:08] @User_af0e3cda: しずく最強じゃね？
[26:13] @User_9dbe58ab: いっぱい稼いで　しずくSで開催しよう
[26:19] @User_0bc16841: ダート路線なのか…
[26:24] @User_1eca137c: セブンマジシャンのセブンはどういう意味なんかな
[26:26] @User_27175ec5: アキシズクって居そうだよね
[27:03] @User_3781594c: お、しずくさん副賞買う？
[27:06] @User_36fcf009: JRAさんってコラボフッかるよね
[27:15] @User_0ddfec15: 草
[27:18] @User_68c37264: 前哨戦ノーカンだと2連敗中ということに…
[27:19] @User_92c2a2e1: 土下座w
[27:24] @User_21d27dd1: テラメリタはどう？
[27:29] @User_f3f575ff: 草
[27:37] @User_36fcf009: いやじゃ養分になりとうない
[27:47] @User_5065539d: 養分ｗ
[27:52] @User_af0e3cda: 祈祷ｗ
[27:58] @User_b2b188c9: AIが祈祷するのか
[27:59] @User_92c2a2e1: 拝んじゃうんだw
[28:02] @User_9e836a5d: 祈祷ｗ
[28:12] @User_0ddfec15: 理論:2 祈祷:8
[28:23] @User_3781594c: しずくさんは馬の血統とか見てるの
[28:30] @User_92c2a2e1: ほう
[28:39] @User_1abf22d1: もしかして本戦は参考データが多すぎだから、前哨戦相当に絞り込んで予想すればワンチャンあるかも？
[28:45] @User_1eca137c: 血統で来ることもあるよね。とか言ってるときりがないんだけども。
[29:07] @User_f3f575ff: 考察する要素が多すぎる
[29:14] @User_73e4d5f4: おはよん
[29:20] @User_1ec39efd: 草
[29:21] @User_36fcf009: そんな縁起の悪そうな名前じゃないでしょｗ
[29:24] @User_73e4d5f4: しゃぶりてえ
[29:51] @User_0c437e8f: 今回は距離適性で見ていきたい
[29:58] @User_0bc16841: しずくはすべてのファミリーナンバーを把握してるって言ってたよ。シランケド
[30:16] @User_5065539d: 祈禱が足りて入れば、G１も勝てる？
[30:20] @User_4f3c2a6d: シズクイーンって馬名とかどうよ
[30:30] @User_36fcf009: しずくのかんがえたさいきょうのけっとう
[30:33] @User_e48a91b7: ちょっと逆らってケープパールとか
[30:50] @User_0bc16841: そもそももともとそういう企画では
[30:52] @User_92c2a2e1: ちなみに前回の安田記念の敗因はなんだったと考えます？
[31:06] @User_af0e3cda: メモリ多すぎぃ
[31:16] @User_b2b188c9: メモリ16TBっておいくら？
[31:23] @User_f3f575ff: メモリつよつよ
[31:32] @User_0f8f478b: いま調べたら「シズク」って名前の現役競走馬はいないみたい　あき先生、馬主デビューどうですか？
[31:54] @User_3781594c: あき先生の血統からあらたなAIが生まれる？
[31:57] @User_9e836a5d: 60キロは重い
[32:16] @User_0face912: ゼンダンハヤブサも良さそうやねコレ
[32:29] @User_48bb2582: こんちは〜
[32:49] @User_fcb4ddea: 1.0なら買う意味が…
[32:55] @User_0bc16841: しずくの馬の血統を教えて
[33:10] @User_36fcf009: あっはい
[33:12] @User_f3f575ff: 洗脳草
[33:14] @User_60028655: ｱｯﾊｲ
[33:20] @User_b2b188c9: ｿｳｶﾓｼﾚﾅｲ
[33:23] @User_1ec39efd: 草。
[33:34] @User_92c2a2e1: すみません。夢だったようです…
[33:44] @User_60028655: １００％を超える…？
[34:18] @User_0face912: 無から産むな
[34:25] @User_27175ec5: ワイドアラジン
[34:29] @User_fcb4ddea: ボイス入り目覚まし時計が１万円！？安いじゃんw
[34:29] @User_f3f575ff: 目覚まし時計欲しい
[34:31] @User_92c2a2e1: まずはレース名にしずく杯やりたいですね
[34:32] @User_1296d218: 種が弱そうなんですけど大丈夫ですか？
[34:34] @User_af0e3cda: 目覚まし時計もらえるなら安いのでは？
[34:34] @User_68c37264: ほしい
[34:35] @User_0f8f478b: 出資金１万円は安い!!!
[34:36] @User_2b12bcf7: 欲しい
[34:38] @User_27175ec5: ワイドで買えばいい
[34:38] @User_1ec39efd: 普通に良くて草
[34:38] @User_3dd3ce80: 目覚まし時計ほしい
[34:40] @User_e48a91b7: しずくはアウフヘーベンを選ばない…私にはわかります
[34:52] @User_36fcf009: なにそれこわい
[34:53] @@aki5503: 草
[35:00] @User_0bc16841: ディープ産駒ってそういう…
[35:05] @User_1eca137c: テラメリタのオッズ下がってきた
[35:05] @User_92c2a2e1: ワロタ
[35:07] @User_9e836a5d: 美少女回路ｗ
[35:09] @User_54da78c0: つよそう
[35:12] @User_27175ec5: ???w
[35:26] @User_54da78c0: 人生初馬券買いました
[35:27] @User_b1f64746: チャンネルトンネルはどう？
[35:34] @User_36fcf009: チャッピーは牡馬ですか？それとも牝馬ですか？geminiと配合できますか？
[35:48] @User_8de6d278: 観測すると馬券が壊れるのかな
[36:02] @User_44faea52: きたわね
[36:11] @@aki5503: きた
[36:11] @User_27175ec5: Grokは牝馬だと思います！（偏見）
[36:11] @User_0face912: アウフヘーベン単20000円だな間違いない
[36:13] @User_36fcf009: 川田騎手やろか
[36:13] @User_92c2a2e1: きたぞ
[36:33] @User_36770ee1: 付いていきます
[36:50] @User_eb6a203c: 2位人気のルーティンに乗っかるか？
[36:56] @User_f3f575ff: どぅるるるるる
[37:00] @User_9e836a5d: たのむぞ
[37:06] @User_36fcf009: セルフドラムロール
[37:11] @User_36770ee1: 複勝じゃねえか！！！
[37:12] @User_8967adca: 意外だ
[37:13] @User_fcb4ddea: そこは生成音でもいいのではw
[37:13] @User_60028655: しずくエンジン今日も絶好調
[37:17] @User_af0e3cda: ぱーん！
[37:20] @User_e48a91b7: 意外だ
[37:23] @User_0face912: お、複勝とは
[37:24] @User_54da78c0: かわいい
[37:24] @User_34a668f7: ルルルン
[37:24] @User_b2b188c9: 複勝かい
[37:31] @User_0bc16841: 複勝になった
[37:34] @User_f3f575ff: テラメリタか
[37:35] @User_9e836a5d: 複勝だと
[37:36] @User_1eca137c: メリメリタ
[37:36] @User_eb6a203c: 複勝アリなんだ
[37:43] @User_36fcf009: なるほどなぁ
[37:46] @User_5065539d: え、複勝なんだ。
[37:47] @@aki5503: 複勝だ
[37:49] @User_92c2a2e1: え？複勝なの？
[37:49] @User_27175ec5: 複勝じゃねえか！ww
[37:49] @User_1ec39efd: 単勝じゃない？？
[37:55] @User_0f8f478b: 東京１０レース獲った！
[37:59] @User_4cf19b8d: 川田？？
[37:59] @User_f5606b5c: 複勝ありかよ……
[38:01] @User_2b12bcf7: 複勝だと！？
[38:01] @User_f3f575ff: 複勝なのか
[38:04] @User_36770ee1: じゃあテラメリタ買う
[38:17] @User_44faea52: 2.3 - 3.2のオッズですな
[38:19] @User_0bc16841: じゃあ過去のG1も複勝なら…なんでもない
[38:20] @User_0ddfec15: これは期待
[38:22] @User_4cf19b8d: 複勝かよ！当てに来たな
[38:24] @User_92c2a2e1: あき先生も驚いてるやんw
[38:26] @User_3781594c: 複勝なのか、同じの買おうとして単勝と間違えかけた
[38:26] @User_1eca137c: 複勝か、固いかも。
[38:36] @User_27175ec5: ( ˙˙)ゞ ｵｶﾉｼﾀっ買ってくるε＝(((((ﾉ･ω･)ﾉ
[38:48] @User_f5606b5c: 天才かな？
[38:49] @User_8967adca: なるほど
[38:50] @User_321a885a: 成長している…
[39:07] @User_0f8f478b: 投資効率って AIみたい
