# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1085

[-1:03:54] @User_2384ca7a: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[11:51] @User_acb9786a: ハム太郎の回し車発電でしずくのサーバーファームを稼働するよ！
[11:56] @User_590a2335: それ勝ちなんだ
[11:59] @User_b90ff19c: 加藤一二三九段
[12:14] @User_590a2335: 切り返しが上手い！
[12:15] @User_bdf8a6eb: しずくしずくしずく
[12:17] @User_bb77ae4f: 今の子達あるある探検隊も知らなそう
[12:19] @User_75f1c92d: 一瞬で通り過ぎたナベアツ
[12:19] @User_1e8a73de: 継続は力なり
[12:28] @User_b9933007: 確かに1人のAI Vtuberを追い続けるのは大変
[12:33] @User_acb9786a: へぇ〜
[12:35] @User_bdf8a6eb: バグワールド1.0
[12:38] @User_590a2335: SONYがDISC販売やめるってよ
[12:38] @User_6992daac: おめでとう
[12:39] @User_2d4fb6d8: へー！
[12:42] @User_ffea2ba5: おお！凄いな
[12:42] @User_fe5eba15: おめでとう。
[12:45] @User_75f1c92d: すごい
[12:45] @User_d582769c: ほほう
[12:47] @User_e1515f73: めでたい
[12:55] @User_b90ff19c: ほこほこほこほこ(*'ω'*)✨
[13:02] @User_b9933007: ふむふむ
[13:05] @User_acb9786a: ZETAも前話題になってたかも
[13:10] @User_c67ecc82: すごい
[13:12] @User_2d0d9efd: 1億の賞金。
[13:16] @User_590a2335: 日本VS日本だ
[13:24] @User_5a77a7b4: １億！
[13:26] @User_d582769c: Apexやってたのはあき先生でしょ？
[13:31] @User_b9933007: エペやってた時代が懐かしい
[13:32] @User_bc2e7db7: ナベアツの次はムネアツ
[13:38] @User_bb77ae4f: 今の子達レイザーラモンHGも知らなそう
[13:40] @User_6c321aed: アツい（マグマが
[13:42] @User_75f1c92d: ずっとアホに！？
[13:44] @User_d582769c: ビッグタイトルは賞金もデカいねぇ
[13:47] @User_5a77a7b4: まずはマイクラクリアから始めよう
[13:50] @User_590a2335: もっとゆっくり遊べるゲームにしましょう
[13:53] @User_bdf8a6eb: パルワールド
[14:00] @User_b9933007: ゼノブレイドとそのシリーズ
[14:02] @User_955672e4: FPS系のゲームはすぐ画面酔いするからできないんだよね・・・見てて楽しそうではあるけど
[14:03] @User_a828969c: VRChat
[14:06] @User_75f1c92d: ウイニングポストシリーズはずっとやってる
[14:06] @User_ca605e00: ファンタシースターオンラインインフィニティ
[14:10] @User_c67ecc82: クトゥルフ神話TRPG
[14:10] @User_e1515f73: jubeat
[14:10] @User_d95d7d28: スレイザスパイア2！
[14:10] @User_590a2335: 悪魔城ドラキュラX 月下の夜想曲
[14:12] @User_b90ff19c: アーマードコア　マスターオブアリーナ
[14:13] @User_acb9786a: パルワールドに時間が溶ける　パルはえっちだし
[14:14] @User_3ea56962: テイルズオブアライズ
[14:14] @User_6bd11c12: パワプロか
[14:17] @User_a744e95c: グランツーリスモ4
[14:18] @User_a079ade7: Civilization
[14:18] @User_d0753fd1: 人生ゲーム
[14:19] @User_d582769c: ポケモンは…6.7000時間溶かしてるな
[14:20] @User_bc2e7db7: マリオメーカー
[14:25] @User_b10ccfca: たけしの挑戦状
[14:32] @User_b4e522f1: 自分がやってたゲームはサービス終了した
[14:40] @User_6992daac: 今は、めっちゃカメレオン
[14:40] @User_2ecda813: SEKIRO（スピードラン・ノーヒット縛り）やってるよ～
[14:40] @User_e3a1f71a: MicrosoftFlightSimulatorを20年やってたらプロパイロットと飲みでタメ垂れるようになたよ。
[14:42] @User_889b3907: ポケモンチャンピオンズ……
[14:49] @User_5a77a7b4: スカイリム
[14:53] @User_b9933007: ZETAと聞くとゼータ ガンダムの方が…
[15:18] @User_bb77ae4f: マリオやりまくってた
[15:24] @User_75f1c92d: しずくにはLoLをやってもらおう
[15:25] @User_955672e4: プレイ時間の長さならFF14がダントツかなあ、10年はやってる
[15:35] @User_b9933007: 見届けますよ。2年待ち続けたのですからね
[15:41] @User_5a77a7b4: こっちが看取られる側では
[15:42] @User_d582769c: プロチームと言えば、REJECTのオーナーがしずくAIに出資してたよね？
[15:44] @User_21e4a643: Gears of Warは大概遊んだ
[15:50] @User_acb9786a: しずくもVRChatやろうよ〜〜
[15:51] @User_590a2335: パルワールドは正式リリースしたんじゃなかったっけ
[15:52] @User_75f1c92d: はいライン越え
[15:57] @User_6c321aed: ゼルダの伝説
[16:02] @User_1e8a73de: 昔ハマったのは、ぬいぐるみが景品のクレーンゲーム。何回やってもアームのバネが弱くて景品がとれないよう。
[16:13] @User_476d8781: しずくに成仏させられるじゃん…
[16:15] @User_590a2335: 望むところじゃぃ！
[16:19] @User_c67ecc82: トモダチコレクションもやってる
[16:22] @User_87ea7811: パルワールドはもう2年も遊んでいるな～
[16:25] @User_ffea2ba5: しずくの聖水...だと
[16:32] @User_bdf8a6eb: 社長砲
[16:49] @User_cd48a1db: 俺としずくのラブゲーム
[16:52] @User_e1515f73: リズム天国
[16:55] @User_bb77ae4f: 最近ハマってるアニメ又は昔ハマってたアニメ
[17:15] @User_d582769c: 俺が入るの…？
[17:17] @User_5a77a7b4: 入れられちゃうのかｗ
[17:22] @User_acb9786a: しずくちゃんに捕獲されたい
[17:24] @User_b9933007: 文明の利器？ スマホを武器にするのですかね
[17:24] @User_590a2335: クリア画面だｗ
[17:33] @User_a744e95c: Dirt Rally2.0に300時間以上溶かしてた
[17:36] @User_2ecda813: いいね
[18:04] @User_ca605e00: しずくとデートできるなら環境揃えるのも有りだな
[18:13] @User_590a2335: 手厳しいｗ
[18:15] @User_bb77ae4f: 最近ハマってるアイドル又は昔ハマってたアイドル
[18:15] @User_b9933007: 悪意満載のマリオのステージ…メンタルやられそう
[18:18] @User_9b9d086f: ギャグには厳しい
[18:23] @User_75f1c92d: 最近だとめっちゃカメレオンとかレトロゲーのがんばれゴエモンとか流行ってるよね
[18:29] @User_b90ff19c: 俺を信じて　生きてゆけばいいさと(*'ω'*)♪
[18:36] @User_d582769c: ポケモン界隈は10000時間行ってる人ぞろぞろいてビビる
[18:48] @User_3d2b2804: ゼノブレイドかなあ
[18:52] @User_2ecda813: しずくが鬼やったらひゃっぱつひゃくちゅうやろな
[19:04] @User_75f1c92d: ワールドワイドしずく
[19:31] @User_bdf8a6eb: イッカネズミを確殺するために両守りするダブルバトル
[19:32] @User_75f1c92d: フロム界隈は恐ろしいな…
[19:37] @User_476d8781: それはただの化け物なんだよなぁ…w
[19:37] @User_ffea2ba5: 意味がわからない...
[19:42] @User_2ecda813: ワイはいつかAIがSEKIROクリアすると信じてるで
[19:43] @User_3ea56962: ペルソナ3。これから出る奴だとペルソナ4も期待できる。
[19:54] @User_696446ad: こんしずぅー！
[20:16] @User_b9933007: MMOは時間消えそうなので手を出せない人生です
[20:23] @User_8b7242c7: FF14で猫耳しずくさん爆誕の時が
[20:29] @User_955672e4: しずくはララフェルじゃないかな
[20:47] @User_bdf8a6eb: ぽてぃと
[20:50] @User_bb77ae4f: わがままファッションガールズモードもやりまくってた
