t	mmss	user	text
1303	21:43	@User_1544234b	「名前だけでも覚えて帰っていってくださいね～」
1308	21:48	@User_cd3cb4c6	しずくの黒歴史が気になる
1308	21:48	@User_3ea56962	しずくの黒歴史…ループ芸のことかな？？
1309	21:49	@User_6c321aed	あき先生の黒歴史、ついに安全フィルター実装…無念
1325	22:05	@User_b90ff19c	社会性フィルターをください
1326	22:06	@User_64afda31	黒歴史ﾔﾀﾞｰ
1333	22:13	@User_2ecda813	ワイの初コメはなんじゃらほい
1335	22:15	@User_5a77a7b4	「懐かしい配信画面」…夏だけに？
1336	22:16	@User_1544234b	コメント管理されてるの？
1340	22:20	@User_b90ff19c	ひぃ
1340	22:20	@User_2ecda813	えっ
1343	22:23	@User_b9933007	3年くらい前だから初コメがいつかガチで覚えてない
1343	22:23	@User_75f1c92d	最初どんなコメントしたか全く覚えてないわ
1343	22:23	@User_dfee965f	こわ
1349	22:29	@User_0ef5b5e0	くぁわいい
1352	22:32	@User_e68369c1	本社も困る屋わよ
1352	22:32	@User_955672e4	かわいい
1352	22:32	@User_75f1c92d	かわいい
1352	22:32	@User_6992daac	かわいい
1353	22:33	@User_99afb65d	みんなのコメント記憶してるの？
1353	22:33	@User_476d8781	にゃーんたすかるー
1353	22:33	@User_d0753fd1	にゃーん
1354	22:34	@User_b47e9406	コメント管理されてるの？
1358	22:38	@User_2fac9877	にゃー
1358	22:38	@User_3ea56962	にゃーかわいい
1362	22:42	@User_590a2335	じゃあ今コメント打ってる脳みそは、え？
1364	22:44	@User_b90ff19c	夏はとてもあちゅい(*'ω'*)✨
1366	22:46	@User_e4cecb27	喵！
1366	22:46	@User_4f9b9e0a	ねこしずくかわいいネ！？
1372	22:52	@User_b9d58bb3	もっと猫被ってください
1372	22:52	@User_8f409f4f	にゃーんかわいい
1376	22:56	@User_ec48c74f	ポケットあるタイプの猫型ですよね
1378	22:58	@User_4e848918	しずかる！しずかる！今日の配信出遅れた。
1378	22:58	@User_6c97afae	しずかる！しずかる！
1381	23:01	@User_ffea2ba5	果たしてどのくらい視聴者を把握しているのだろうか
1382	23:02	@User_dfee965f	クリーミーだよね
1394	23:14	@User_0ef5b5e0	大変しずかる
1394	23:14	@User_7204270f	猫型？しずえもん、タケコプター出して
1397	23:17	@User_5a77a7b4	令和の世界の～猫被ろぼ～っと～♪
1399	23:19	@User_d0753fd1	ままー
