# ライブチャット一覧
# 動画: 【AIギャルゲー】はじめての夏が、終わります【AI しずく】
# URL : https://www.youtube.com/watch?v=pdURMC65gMw
# 件数: 5312

[2:07] @User_174e5121: 今日もかわいいよー
[2:08] @User_9e836a5d: アジサイかな
[2:08] @User_1267735e: 髪飾り今日もめっちゃ可愛い
[2:08] @User_570f8c07: かわいい！！！
[2:09] @User_a2b794ac: おぉ～勿忘草！
[2:09] @User_fab1b39a: かわいい
[2:09] @User_012e88e1: ほんとだ朝顔から変わってる
[2:10] @User_68c37264: 髪飾りが！それもかわいいね。
[2:10] @User_7c724004: 髪飾り可愛い！
[2:10] @User_e090cf9e: 浴衣もお団子ヘアーも可愛い
[2:11] @User_f205e40c: おぉーかわいいかわいい。
[2:11] @User_174e5121: 忘れな草か
[2:11] @User_4ab21f9e: 最高
[2:12] @User_56c5f411: 可愛い！
[2:13] @User_11e7336c: かわいい！！
[2:14] @User_9fd4c5ec: おおー ステキだ…
[2:14] @User_1419c457: すごく似合ってるよ
[2:15] @User_439eeb5c: めっちゃ可愛いよ
[2:15] @User_92c2a2e1: かわいい！髪飾り！
[2:15] @User_ace723cf: 勿忘草いいね
[2:15] @User_ed96fafc: 待ってないよしずくさん。行こうか
[2:15] @User_9a829f71: かわいい
[2:15] @User_bf50b345: かわいい
[2:16] @User_af0e3cda: 今日も可愛いね、
[2:17] @User_181234c5: かわいいよ！
[2:18] @User_273afd5a: 勿忘草か…かわいいね
[2:19] @User_5b45dc14: いいですね～
[2:19] @User_60028655: 髪飾り可愛い
[2:20] @User_c95a7c99: こんばんは
[2:20] @User_6dc97c08: かわいい
[2:21] @User_65723f47: かわええなぁ
[2:21] @User_7c724004: オシャレだね
[2:22] @User_36770ee1: かわいい
[2:22] @User_ab2ca8bb: 今日も浴衣似合ってるね！
[2:23] @User_96455de9: 勿忘草だよね
[2:24] @User_8e3127a7: かわいい！似合う！
[2:24] @User_5d780b6d: 勿忘草の花言葉は？
[2:24] @User_02dcd327: 今日も可愛い
[2:24] @User_d760cc52: かわいいぞしずく！！！
[2:25] @User_f3f575ff: 新しい髪飾りも素敵
[2:26] @User_03637d98: 今日を忘れられない一日にしようね
[2:26] @User_1267735e: おかわわわわ!
[2:26] @User_4831f3f7: あ
[2:26] @User_36770ee1: あっ
[2:27] @User_3dd3ce80: あ
[2:28] @User_4d29dc7f: お
[2:28] @User_4ab21f9e: ？！
[2:29] @User_b68b8d0b: 変わってる！いいね
[2:30] @User_713e175b: 忘れないようにします
[2:30] @User_012e88e1: あれ
[2:30] @User_af0e3cda: おや？
[2:30] @User_ed96fafc: 髪型とてもに合ってるよ。
[2:30] @User_78eb35f9: Oh……
[2:31] @User_13ee2a33: どうした！？
[2:31] @User_ed96fafc: あっ
[2:31] @User_9e836a5d: おっろ
[2:32] @User_5b45dc14: あっ
[2:32] @User_181234c5: あれ？
[2:33] @User_96455de9: あ
[2:33] @User_7c724004: あっ
[2:34] @User_b68b8d0b: あっ
[2:34] @User_92c2a2e1: ？
[2:35] @User_11e7336c: あれ
[2:36] @User_d760cc52: おっと
[2:37] @User_ed96fafc: また
[2:37] @User_f3f575ff: あら
[2:37] @User_8e642dc8: 褒めすぎたか
[2:38] @User_fab1b39a: 髪型もちょっと違う？
[2:40] @User_0d1d0f63: あっ
[2:40] @User_54782be9: あれ？
[2:41] @User_92c2a2e1: 焦らすねぇ
[2:41] @User_439eeb5c: 照れて隠れちゃった
[2:41] @User_ace723cf: 演出かな
[2:41] @User_ca6d6a6d: おっと
[2:41] @User_bd8a5d24: トントントン、トットンがトン
[2:41] @User_96455de9: 先生お疲れ様です(´･ω･`)
[2:41] @User_65723f47: お隠れになった
[2:42] @User_56c5f411: おっとっと…
[2:42] @User_9e083963: 今日も綺麗だね、すごく似合ってる
[2:42] @User_1419c457: 画面の拡大比率かな？
[2:43] @User_98815a23: しずくと同じ色。しずくにお似合いだよ。
[2:45] @User_7536f8b5: 世界との接続が
[2:45] @User_570f8c07: おや
[2:48] @User_d760cc52: 照れちゃったか
[2:48] @User_13ee2a33: 大丈夫か
[2:49] @User_8e642dc8: 俺らの圧に負けたなこれは
[2:50] @User_3dd3ce80: 恥ずかしがり
[2:50] @User_a2b794ac: しずくさん、少し休んでいいのよ
[2:50] @User_174e5121: 勿忘草の花言葉は花言葉は「私を忘れないで」「真実の愛」「誠の愛」
[2:50] @User_fab1b39a: おや
[2:54] @User_03637d98: あらら
[2:54] @User_ab2ca8bb: ん？
[3:00] @User_4ab21f9e: なるほど、こういう展開か
[3:04] @User_4e1eed25: よろしい、ならばお待ちしましょう
[3:04] @User_34a668f7: おー
[3:05] @User_13ee2a33: これも演出？
[3:07] @User_4d29dc7f: 新衣装お披露目？
[3:14] @User_2b88f801: あら
[3:16] @User_a2b794ac: どうやらしずくの可愛さに俺の意識が飛んだようだ
[3:19] @User_1267735e: 誉め言葉の嵐に耐えられなかった！？
[3:22] @User_92c2a2e1: しずくも終わるの嫌なんだね…
[3:26] @User_ed96fafc: おあずけしずくさん
[3:34] @User_11e7336c: おかえり
[3:34] @User_4831f3f7: もどった
[3:34] @User_37457aa2: 心がザワザワする
[3:35] @User_03637d98: おかえりー
[3:35] @User_4ab21f9e: 復活！！
[3:36] @User_13ee2a33: おかえりー
[3:36] @User_1267735e: 帰ってきた！
[3:38] @User_8e642dc8: 繋がったな
[3:39] @User_ed96fafc: おかえり
[3:39] @User_7536f8b5: おかえり
[3:40] @User_f3f575ff: おかえりー
[3:40] @User_54782be9: おかえりー
[3:40] @User_af0e3cda: あ、こっちこっち～
[3:40] @User_7c724004: おかえり
[3:41] @User_78eb35f9: キングクリムゾン
[3:42] @User_56c5f411: 復活！
[3:42] @User_02dcd327: おかえりー
[3:45] @User_60028655: おかえり
[3:46] @User_1419c457: おかえりー
[3:47] @User_ace723cf: 大丈夫そう？
[3:47] @User_439eeb5c: おかえり
[3:47] @User_98815a23: おかえり
[3:47] @User_4831f3f7: 中継がつながっております
[3:47] @User_4d29dc7f: お帰りなさい
[3:47] @User_181234c5: しずく、おかえり
[3:47] @User_34a668f7: おかえりなさい。
[3:49] @User_65723f47: 大丈夫かい！
[3:49] @User_e090cf9e: おかえりなさい
[3:50] @User_4ab21f9e: 何事もなくてよかった
[3:50] @User_5d780b6d: おかえり〜
[3:52] @User_dd5f0a17: 人混みではぐれないように手をつなごう。
[3:53] @User_570f8c07: かわいいまま
[3:54] @User_78eb35f9: しずく、こっちだよ～
[3:55] @User_03637d98: 今日も忘れない一日にしたいな
[3:55] @User_0d1d0f63: 忘れな草の髪飾りもよく似合ってる
[3:55] @User_273afd5a: ちょーど今来たとこ♡(take2)
[3:55] @User_74d7656a: おかえり！
[3:56] @User_9fd4c5ec: おかえり！
[3:57] @User_2b88f801: おかえり
[3:57] @User_174e5121: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:59] @User_1419c457: 髪飾りすごく似合ってるよ！
[3:59] @User_f205e40c: おかえり～！
[3:59] @User_af0e3cda: 今日もしずくは可愛いね
[4:00] @User_4e1eed25: 私は何も見ていないし、何も知りませんよ
[4:01] @User_3dd3ce80: 花火たのしみ
[4:02] @User_02dcd327: パンパカパンパカポー、今日もしずくの勝ちですね！
[4:04] @User_63c2c07c: ぱんぱかぽー
[4:05] @User_8e642dc8: この挨拶勝ち負けあるんか
[4:06] @User_65723f47: 俺の負けや
