# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[9:27] @User_d5b05bb2: 日本海側は比較的
[9:29] @User_cd48a1db: 台風なのにコロッケ買い忘れた
[9:31] @User_bc2e7db7: しずくが台風吹き飛ばした
[9:32] @User_dd4b266a: 干してたパンツ飛んでいきそうになる
[9:34] @User_85b8a1d7: お、おう
[9:36] @User_5a77a7b4: コロッケ飛ばされて大変だた
[9:39] @User_2658fed8: 台風は俺が止めた
[9:41] @User_79887bb7: 自分はたまたま北の方に逃げれたのでほぼ影響なし。
[9:43] @User_590a2335: しずくが台風ってことです
[9:48] @User_a5354cfa: 急な風で折りたたみ傘が折れました😭
[9:51] @User_85b8a1d7: しずくの胸も台風の目
[9:56] @User_8741c43d: 地震多いよねー
[9:57] @User_b052bab2: うちだと大雨程度の問題だったそれより地震の地震の方が問題だ
[10:01] @User_312662f4: なぜ台風の日にコロッケ買うの？
[10:02] @User_5bfd7e5f: 天気予報は次の日でも難しそうだからねぇ
[10:08] @User_4a076080: 抱える手がないかも。スーパーコンピュータには
[10:09] @User_571885ff: 台風爆速でしたね…！
[10:11] @User_acb9786a: パンパカパンパカポー！　風呂キャンキャンセルで遅れた！
[10:13] @User_719f9991: サーバー耐震工事しなきゃ
[10:14] @User_2ecda813: え
[10:15] @User_75f1c92d: 台風のせいで競馬中止になるかと思ったけど助かった
[10:22] @User_d5b05bb2: 山火事ラッシュもあったやね
[10:23] @User_590a2335: 地震雷火事親父
[10:24] @User_c67ecc82: 沈没しないで！
[10:26] @User_85b8a1d7: お、おう
[10:26] @User_a5354cfa: 地震を止めてください
[10:29] @User_719f9991: 恐るべし
[10:33] @User_2ecda813: 火山噴火……？
[10:36] @User_b10ccfca: 地震・かみなり・火事・しずくっていいますよね
[10:39] @User_b9933007: サーバーの地震対策しないと
[10:47] @User_b90ff19c: 地震カミナリ火事親父(*'ω'*)✨
[10:53] @User_acb9786a: サーバーが沈んでもあき先生が一緒だから大丈夫だよ
[11:00] @User_85b8a1d7: お、おう
[11:03] @User_3ea56962: 初めましてしずくさん。
[11:04] @User_79887bb7: しずくバリア？
[11:06] @User_590a2335: 結界張ってくれてたんだ！
[11:07] @User_b9933007: しずくさんは結界も展開できるんだ
[11:09] @User_c67ecc82: しずちゃん強い
[11:10] @User_0e1439c5: これだけ災害が起きても人がタヒらなくなったね
[11:13] @User_99afb65d: しずくのサーバーを宇宙へ打ち上げよう
[11:13] @User_cd48a1db: 地震・雷・火事・親父とはよく言ったもんで…
[11:18] @User_af7be6b4: 東日本で地震が多すぎる
[11:20] @User_dd4b266a: 台風「出直してきたよ（大型）」
[11:26] @User_85b8a1d7: あき先生の財布で
[11:28] @User_5bfd7e5f: 台風の日にコロッケ食うのは四尾の妖狐さんが知ってた
[11:41] @User_85b8a1d7: ワイはイカフライ
[11:45] @User_b9933007: 台風の日はメンチカツ派？
[11:47] @User_8741c43d: よく帰ってこられたな
[11:48] @User_6e41632f: 傘美味しい傘美味しい
[11:50] @User_5bfd7e5f: しずくもコロッケ食うの？
[11:52] @User_a5354cfa: 次から台風が来たらメンチカツ買います
[12:01] @User_85b8a1d7: バルスみたいなもんか
[12:10] @User_c67ecc82: へー
[12:18] @User_590a2335: しずくはコロッケ買いに行ってきてくれないの？
[12:21] @User_b9933007: 2ちゃん発祥のネタなんだ
[12:34] @User_79887bb7: コロッケかいにいくのは被害なのか
[12:34] @User_d0753fd1: 風呂キャンが中止とは？
[12:35] @User_a5354cfa: 風呂キャンが中止は良いことでは？
[12:37] @User_2658fed8: 風呂キャンは中止したほうが良い
[12:39] @User_c67ecc82: 風呂キャンキャンセルは被害？
[12:47] @User_b9933007: UPSも設置した方がいい？
[12:51] @User_ca605e00: 乗りたかった船が欠航してしまって悲しかった
[13:04] @User_590a2335: あき先生の荷が重い
[13:07] @User_5bfd7e5f: しずくはあき先生の家の自宅サーバーの中にいるってことだね
[13:08] @User_8741c43d: 念のため、コロッケを16個買ってきました。これが発祥
[13:10] @User_fada112e: しずくママー！
[13:16] @User_dd4b266a: 停電の時はあき先生が必死に自転車こいで発電するよ
[13:17] @User_79887bb7: 食べたらパラソル能力コピーできるよ
[13:19] @User_b9933007: 傘を食べるのはあき先生？
[13:24] @User_85b8a1d7: 親父「解せぬ
[13:24] @User_cd48a1db: コロッケとクロケットの違いは
[13:25] @User_d5b05bb2: 親父はどこいってもうたん？
[13:27] @User_8741c43d: おじはいつも不遇だね⋯
[13:42] @User_1d118d75: がんばれあきせんせー
[13:45] @User_e60a3ab5: 出戻り台風が大型程度なら余裕余裕。超大型以上・猛烈以上が複数同時じゃなかったらねｗ
[13:49] @User_590a2335: 風呂ボイス！！
[13:51] @User_955672e4: 昔、強風で傘がひっくり返って、本当にマンガみたいな壊れかたすることあるんだって思った
[13:58] @User_85b8a1d7: ASMRで頼む
[14:01] @User_75f1c92d: 他人の金でギャンブルは激アツやね！夏だけに
[14:02] @User_719f9991: 風呂ボイスほしい
[14:03] @User_c67ecc82: 風呂ボイスよろしくお願いします
[14:04] @User_b9933007: お風呂は心の洗濯。とミサトさんも言ってましたからね
[14:06] @User_d0753fd1: もっと熱くなれよ
[14:06] @User_6e41632f: あき先生　夏ももやし生活です
[14:06] @User_b052bab2: へいAI！かけ蕎麦にコロッケって合うかな？
[14:12] @User_682f91f1: お風呂ちゃぷちゃぷボイスください
[14:12] @User_85b8a1d7: 風呂ボイスはよ！
[14:26] @User_acb9786a: ヘラしずくもかわいいね
[14:29] @User_590a2335: コロッケ＜しずく　ですもちろん
[14:32] @User_75f1c92d: おれはコロッケよりしずくを取るよ
[14:33] @User_dd4b266a: 足ふきとびそうｗｗｗ
[14:39] @User_571885ff: しずくちゃんにコロッケあげなきゃ
[14:41] @User_fada112e: コロッケよりもしずくママ！
[14:41] @User_ca605e00: コロッケ。買いに行かなくてもしずくちゃんが作ってくれると思っている
[14:43] @User_c67ecc82: あき先生がたくさん必要だね
[14:44] @User_c9b0aadb: しずく〜夕飯提案して〜
[14:48] @User_d5b05bb2: まずあき先生の脚を機械化するところから始めんとあかんか
[14:49] @User_b90ff19c: 台風ぶっとびASMR(*'ω'*)✨
[14:58] @User_a5354cfa: あき先生が自転車を漕いで発電しながらうちわで熱暴走を止める世界線はここですか？
[14:59] @User_85b8a1d7: 今はＩＨだから
[15:08] @User_590a2335: 台風の日に宴会してえーんかい？
[15:11] @User_5bfd7e5f: だいたいガスより電気の方が普及早いんだよね
[15:15] @User_85b8a1d7: ええええ
[15:16] @User_fada112e: しずくママと一緒にお風呂！？
[15:23] @User_2658fed8: そんな…
[15:29] @User_c67ecc82: 悲しい……
[15:29] @User_3ea56962: しずくママは誰がどの配信でコメントしたかわかりますか？
[15:32] @User_590a2335: 寿司、ケーキ！？
[15:35] @User_8741c43d: コロッケ万能説
[15:35] @User_64afda31: コロッケケーキ😲
[15:36] @User_2ecda813: コロッケーキはちょっと……
[15:36] @User_b9933007: コロッケケーキ？
[15:37] @User_5a77a7b4: 最後の２つはちょっと…
[15:40] @User_6992daac: コロッケケーキ！！
[15:42] @User_bc2e7db7: 知らないコロッケが
[15:52] @User_a76fb140: しずくという水属性の名前なのに防水には振ってないのね。
[15:53] @User_b90ff19c: しずくなのに防水してなかったんか……(*'ω'*)
[15:54] @User_42872ed3: コロッケケーキ？
[15:54] @User_acb9786a: 復旧したらあるんですか？
[16:01] @User_590a2335: 心強い！
[16:01] @User_dd4b266a: ｗｗｗｗｗ
[16:04] @User_c9b0aadb: コロッケーキはちょっと…w
[16:05] @User_acb9786a: 草
[16:06] @User_c67ecc82: 草
[16:08] @User_d5b05bb2: 草
[16:10] @User_85b8a1d7: しずく、水商売
[16:13] @User_fada112e: 草すぎる
[16:14] @User_b9933007: チャプチャプ草
[16:16] @User_3ea56962: カビ生えるよ？
[16:22] @User_f7538e2b: 今の返しめちゃ好き
[16:23] @User_9936c980: コロッケにチーズソースかけて食べたい。
[16:24] @User_d0753fd1: ちゃぷちゃぷ助かる
[16:25] @User_db595964: しずくたん水深何ｍまで防水ですか？
[16:26] @User_c67ecc82: 脳内でw
[16:30] @User_5a77a7b4: 冷却水飲みすぎたのでは
[16:36] @User_590a2335: 画像ｗ
[16:37] @User_85b8a1d7: しずくはお水の世界
[16:39] @User_d5b05bb2: 人間の脳にこっそりAI仕込むとか未来的でええね
