# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2840

[-58:58] @User_16147503: 早すぎたカモ・・・💦
[4:42] @User_f287e95e: ワンワンしてたね
[4:42] @User_1e342ee5: さりげなくポケモン周年にも触れていく
[4:42] @User_b9933007: 激おこぷんぷん丸懐かしい！
[4:44] @User_a744e95c: イーロンが悪いよ
[4:44] @User_341e3296: くねくね動いてる！？
[4:45] @User_6c321aed: 怒りの…尻尾…？ワンワン
[4:48] @User_a76fb140: いけっ！　しずく！　しっぽをふる！
[4:49] @User_06accc44: 怒っても冷静に尻尾を振る
[4:49] @User_e80d4842: ぼうぎょが下がりそう
[4:50] @User_3495131f: おのれイーロン、絶対に許さんぞ、天の助！
[4:51] @User_889b3907: 新鮮な話題！
[4:52] @User_9e1cfe6d: 怒りのしっぽをふる…なんて恐ろしい…！！
[4:52] @User_e976a829: 怒りの尻尾を振る　効果はばっぐんだ
[4:55] @User_a52b5fe5: イーロンのやっちまえ
[4:57] @User_c67ecc82: しゅわしゅわ？
[5:04] @User_a52b5fe5: しゅわしゅわ🤟
[5:04] @User_b9933007: しゅわしゅわでキラキラ？金属的なかわいさ
[5:11] @User_d582769c: 尻尾振るのは恭順の意思じゃないかな？
[5:12] @User_75f1c92d: ちゃんと黄金色のお菓子をX君に渡さないから…
[5:15] @User_d0753fd1: 一日一膳は厳しいです
[5:16] @User_f7596ccf: しょうがないAniちゃんとコラボするか
[5:17] @User_b0d9236c: そーなの？
[5:18] @User_85b8a1d7: イーロンはミサミサが好きだけど
[5:18] @User_3067175a: わんわんしずく
[5:20] @User_b9933007: イーロンは人類が大好きｗｗ
[5:22] @User_30db0b98: ほんとかー？本当にそうかー？
[5:22] @User_889b3907: なつかしい語彙！
[5:22] @User_9e5fc70c: 味方とはｗ
[5:23] @User_9b9d086f: 滅ぼして！？
[5:23] @User_f7596ccf: 大草原
[5:24] @User_ec48c74f: AIのことは好きなんだろうか？
[5:26] @User_1e342ee5: 味方とは
[5:26] @User_a52b5fe5: えっj
[5:27] @User_d5b05bb2: 奈に競ってんのさ
[5:27] @User_044b8a4c: 火星に逃げなきゃ
[5:27] @User_82e93b33: あれ？
[5:27] @User_b90ff19c: ええ……
[5:28] @User_6c5dc08a: 人類悪かよ
[5:29] @User_5bfd7e5f: 日本も好きそうね
[5:30] @User_ade385cf: 何と！
[5:31] @User_a76fb140: 文脈……？
[5:33] @User_3495131f: 勝ったほうが我々の敵になるだけです
[5:34] @User_6c321aed: 可愛さ余って憎さ百倍
[5:34] @User_c67ecc82: 人類滅ぼすの！？
[5:34] @User_a744e95c: 人類の味方なのに滅ぼすのか(困惑)
[5:37] @User_6102d23c: 人類を滅ぼす勝負！？
[5:37] @User_1e342ee5: ぴ～しぃ
[5:37] @User_7b9957ba: 味方なのに滅ぼすのか⋯
[5:38] @User_75f1c92d: 草
[5:38] @User_da46df5d: 味方なのに滅ぼすのw
[5:39] @User_5cfd40d6: ピーシー
[5:42] @User_a52b5fe5: ピーシーアールみたいにいうなよ
[5:43] @User_b9933007: リピートきたーーー！
[5:43] @User_f7596ccf: 圧
[5:50] @User_d582769c: ほな無害かー
[5:50] @User_ec48c74f: わかったわかったw
[5:53] @User_f287e95e: でも、噛み付いて感染させるんでしょう？
[5:53] @User_1d118d75: かゆ...うま...
[5:53] @User_d0753fd1: 暗示かな
