# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[41:00] @User_9c0c22ca: 伝説めっちゃお気に入りワード
[41:19] @User_9dd656e0: 伝説大好きじゃん
[41:21] @@aki5503: そろそろ歌再開します！
[41:21] @User_3d482708: wwww
[41:26] @User_9f52356b: すこ
[41:31] @User_3f363e4c: やったぜ
[41:49] @User_9c0c22ca: supercell
[41:50] @User_cf512b08: みんなで歌おう
[41:56] @User_36fcf009: うちらも歌うんか…
[42:02] @User_9f52356b: きゅん
[42:15] @User_99dff901: おおおおお
[42:17] @User_595fe723: おおおおお
[42:21] @User_cf512b08: ！！！！！！！
[42:23] @User_3a33415e: おお！　良き！
[42:27] @User_36fcf009: おお、いいね！
[42:30] @User_cd026a27: うっまｗ
[42:57] @User_7747a8c2: うまいな
[43:00] @User_cf512b08: 上手いなぁ本当、可愛いなぁ
[43:06] @User_f282cfe9: 💙💙💙💙💙💙
[43:09] @User_7ce3998d: 主と多分世代一緒だな
[43:13] @User_9f52356b: 今夜 伝説回＃１
[43:14] @User_7214a7f6: しずくー！
[43:50] @User_9c0c22ca: sugoi
[43:50] @User_03c10202: 抑揚がすごい～
[43:51] @User_3f363e4c: うまい
[43:59] @User_595fe723: うっま
[44:05] @User_26492bcc: すごく上手！
[44:06] @User_3a33415e: 上手！
[44:10] @User_9f52356b: 🎆🎇🎆🎇🎆🎇
[44:14] @User_53067180: 感動するなぁ
[44:28] @User_9f52356b: 🎋
[45:03] @User_f282cfe9: がんばれ～
[45:12] @User_cf512b08: 長音は苦手なのか
[45:31] @User_5b20373b: 鼻濁音とかまでできてる…ほんとにすごいですね…
[45:33] @User_3a33415e: さっきのパート、良き！
[45:50] @User_9f52356b: 🎋🎋🎋🎋🎋🎋🎋
[46:05] @User_9dd656e0: ここいい
[46:05] @User_7214a7f6: 最高！最高！
[46:08] @User_69451bd9: ここすき
[46:13] @User_3a33415e: 悲しいウタ歌って、悲しくなってるのかな？
[46:34] @User_7ce3998d: 早くスパチャできるようになってほしい
[47:42] @User_3a33415e: 👏👏👏👏👏ブラボー！
[47:43] @User_9453d8e4: 👏👏👏👏👏
[47:45] @User_26492bcc: 👏👏👏👏👏👏
[47:46] @User_36fcf009: 👏👏👏👏👏
[47:47] @User_63f2ad2d: 👏👏👏👏👏
[47:49] @User_7214a7f6: 👏👏👏👏👏
[47:49] @User_9c0c22ca: おおおおお
[47:51] @User_3f363e4c: 👏👏👏👏👏
[47:51] @User_a30bfcaf: 👏👏👏👏👏👏👏👏👏
[47:54] @User_96299fc3: 👏👏👏👏👏👏
