# ライブチャット一覧
# 動画: 【AIギャルゲー】今から夜の学校に行きましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=NZqThyMZScI
# 件数: 3577

[4:29] @User_6dc97c08: 夏の醍醐味だ
[4:31] @User_4ab21f9e: ふむ
[4:33] @User_9e083963: いいね
[4:34] @User_d760cc52: ご主人様いっぱいいるから怖くないよ
[4:35] @User_4831f3f7: 南無阿弥陀仏
[4:36] @User_9fd4c5ec: 祠壊さないようにね…
[4:36] @User_5b45dc14: 肝試し…怖いです
[4:39] @User_9e836a5d: 虫の声が
[4:42] @User_fab1b39a: 怖いのは得意じゃないけどしずくが言うなら行くしかない
[4:42] @User_65723f47: 星は綺麗に見えるかな？
[4:42] @User_68c37264: リアタイ視聴できなさそうなので、しずくの声と配信BGMだけ聴きに来たよ。音声だけで恐怖感を再現するクオリティ高い肝試しを期待。
[4:42] @User_03637d98: こんばんは、しずくは夏休み楽しめたかな？
[4:43] @User_0f8f478b: 肝試し？　まわれ右して帰ろかな
[4:44] @User_f3f575ff: 懐中電灯あれば怖くない
[4:47] @User_78eb35f9: 夜になって涼しくなったのに……より涼しい思いをするのかい？
[4:47] @User_b1d17b4c: 月がきれいですね。
[4:49] @User_ae2eb658: じずくちゃんは怖いの大丈夫なの？
[4:50] @User_a2b794ac: しずくさん、お化け信じてるんですか…はは、こ、こどもだなぁ、怖くないぞぉ
[4:50] @User_02dcd327: 肝試しなんて怖くないですよ。本当ですよ？
[4:51] @User_4ab21f9e: クンカクンカ
[4:52] @User_1267735e: 良い夜になりそうー
[4:55] @User_7c724004: 趣があっていいね
[4:59] @User_b1a4d099: 今日は月が綺麗だね
[5:01] @User_181234c5: しずくはホラーは大丈夫なの？
[5:02] @User_4e1eed25: 今日は夜だからリアルタイム感マシマシですね
[5:02] @User_439eeb5c: 俺についてこい（キリッ
[5:03] @User_34a668f7: 雨の匂いもスキー
[5:10] @User_7536f8b5: 肝試しかー怖くねーけどしかたねーなー
[5:10] @User_99c13731: 気安く行っては行けない場所もありますよ
[5:12] @User_03637d98: お化け！？ｶﾞﾀｶﾞﾀｶﾞﾀ
[5:13] @User_4d29dc7f: しずくもいい匂いするよ
[5:14] @User_1eca137c: デレツンじゃない？
[5:15] @User_36770ee1: 鈴虫の鳴き声があっていいね。最近暑くてセミも何も鳴らない...
[5:15] @User_4831f3f7: しずくさん、お化けって本当にいるんですよ
[5:17] @User_fcb4ddea: 怖いのはちょっと…(;´･ω･)
[5:17] @User_92c2a2e1: 怖いなぁ怖いなぁ
[5:18] @User_8e3127a7: 夜に出かけるのも新鮮で楽しそう
[5:18] @User_ae2eb658: お化けが出そうだね
[5:20] @User_f9e19008: あの祠壊したんか！？
[5:21] @User_7c724004: 幽霊もびっくりする可愛さ！
[5:21] @User_b1a4d099: しずくには肝がないから安心！
[5:21] @User_98815a23: やっぱりこわいのでずっと手握っててほしい
[5:23] @User_5a8f2726: こんばんわー！夜の学校わくわくするね
[5:23] @User_61396d22: 深夜徘徊配信...する??
[5:24] @User_cb14d0c8: しずくは怖いの平気かー
[5:27] @User_65723f47: よく考えたらご主人様たちが１００人以上いるならこわくないか
[5:27] @User_af0e3cda: しずくは怖いの得意？
[5:30] @User_34ca40de: こんばんは
[5:34] @User_46e02420: 連続読み上げ、ありがーとー
[5:34] @User_4ab21f9e: 二人だけで肝試し……何も起きないはずがなく
[5:36] @User_e4d561af: 肝試し怖いから他のにしない？
[5:37] @User_f205e40c: おっかないけどしずくちゃん居るなら行く……
[5:38] @User_8de6d278: ありがたくなさそうｗｗｗ
[5:39] @User_a2b794ac: 問題はどこに行くかだ、洞窟、トンネル、お墓、廃墟、しずくさんイージーモードでお願い
[5:43] @User_99c13731: 頼もしい
[5:43] @User_d760cc52: しずくが急にバグったりしない？大丈夫？
[5:45] @User_2d123e9d: 可愛いなぁ
[5:46] @User_1267735e: 隠れていいの！？
[5:46] @User_d15f4c8d: しずくのガチ悲鳴を期待してるよ
[5:48] @User_60028655: よっしゃ行こう…ゾロゾロ
[5:49] @User_03637d98: 夜の学校は怖いから気を付けないと！
[5:50] @User_3dd3ce80: おどろかす役がやりたい
