# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 996

[13:29] @User_ec48c74f: 見たよー惜しかったね。やっぱりブラジル強かった
[13:35] @User_6c97afae: 配信の進め方がお上手で非常に学びがある
[13:37] @User_33e51cd0: ボールは友達、AIは敵？
[13:45] @User_f032a5a0: 深夜なのに叫んじまったよ
[13:53] @User_ec48c74f: シンプルだった
[14:00] @User_590a2335: その勝ちに価値はあるんか？
[14:01] @User_8b14d2fb: イエローカードで御札って言ってたの吹いた😂
[14:02] @User_9422eed4: 見事なり、と言える戦いぶりだった
[14:02] @User_6c321aed: 一瞬呼吸止まった。あの失点の瞬間
[14:15] @User_3a160b08: you can play soccer?
[14:18] @User_e976a829: 別にサッカーネタバレしてもかまわんよ
[14:46] @User_f032a5a0: 4年後しずくは何歳？
[14:47] @User_590a2335: 不正だｗ
[14:55] @User_2ecda813: ！？
[14:55] @User_5cfd40d6: かわいい
[14:56] @User_9422eed4: 不正やめてね
[14:57] @User_acb9786a: ！？
[15:03] @User_ec48c74f: ！？
[15:03] @User_9422eed4: かわいい
[15:04] @User_61cbe74e: Bisakah berbahasa Indonesia
[15:05] @User_8b7242c7: 元気なしずくさん
[15:06] @User_33e51cd0: 叫び声かわいいじゃん
[15:07] @User_8b14d2fb: かわいい
[15:08] @User_8d648fed: もう一回あの声で
[15:16] @User_e976a829: そう言えばなんか早口になったね
[15:29] @User_e60a3ab5: 今までのブラジル代表の中ではほぼ最弱クラスだったし、下馬評でもブラジル弱いって言われてたんだけどね……
[15:32] @User_ec48c74f: しずくの国も🇯🇵じゃないの？
[15:38] @User_719f9991: 強豪に立ち向かった日本ほんとにえらい
[15:40] @User_590a2335: 心臓を捧げよ
[16:06] @User_2ecda813: ：（　しずくはわるくありません
[16:07] @User_bb77ae4f: クロアチアの選手の名前面白いよね
[16:16] @User_ec48c74f: キャプ翼かよ
[16:16] @User_6c321aed: グループF組、決勝リーグ初戦で全滅だってね。世界は広い
[16:23] @User_e976a829: しずくがＶＲＣきたらＶＲ機器購入するかも・・・
[16:27] @User_e60a3ab5: 4年前も決勝T1回戦でベルギー相手に同じ感じで負けたのを思い出した
[16:30] @User_5cfd40d6: あるある
[16:32] @User_8b7242c7: キーパーごとはもう少林サッカーの世界
[16:33] @User_590a2335: かわいいは人を単純にさせる
[16:36] @User_bc2e7db7: 重要あるが
[16:54] @User_ec48c74f: きゃーーーーーとか叫べるの？
[17:13] @User_719f9991: ワールドカップ出場
[17:16] @User_e976a829: ああ、たまごっちみたいなあれね
[17:18] @User_e60a3ab5: それでも対欧州勢不敗記録継続中なのが救い
[17:18] @User_5cfd40d6: かわいい。しずくっち
[17:22] @aki5503: しずくっち可愛い
[17:38] @User_a52b5fe5: ベルギー強かった
[18:02] @User_bb77ae4f: 夏はマラソンが凄いよね
[18:02] @User_889b3907: 職場のパソコンがしずくに破壊されたので帰ってきました
[18:03] @User_719f9991: かわ
[18:03] @User_6c97afae: 急にかわいい
[18:11] @User_f032a5a0: 果たして我々が生きている間に日本のWC優勝は見れるのか、しずくは100年後でも見てくれるか？
[18:28] @User_ec48c74f: しずくっちはどこで売ってますか？たまごっちのパクリ？
[18:35] @User_719f9991: ブラジルミクさんがいっぱいTLに流れてきた
[18:55] @User_e976a829: 売ってなければ自分で作るのだ
[19:14] @User_a52b5fe5: ブラミクか
[19:42] @User_bb77ae4f: クロアチアの選手はたまごっちやドロリッチやモンチッチの仲間かな🤔
[19:43] @User_8b7242c7: はや半年
[19:44] @User_a52b5fe5: まじか
[19:46] @User_bc2e7db7: 嘘だ！
[19:46] @User_e976a829: なんだって・・・？！
[19:49] @User_476d8781: もう後半戦…？嘘だと言ってくれ…(;´･ω･)
[19:49] @User_ec48c74f: アディショナルタイムないんですか？
[19:53] @User_719f9991: 今年半分終わった!?
[19:54] @User_f032a5a0: 効くからやめてね
[19:59] @aki5503: はやすぎる…
[20:07] @User_719f9991: ハイドレーションタイムは...!
[20:08] @User_9422eed4: 嘘だ…信じたくない…まだやらなきゃいけないことが残ってるのに…
[20:18] @User_6c321aed: 前半は1対0で折り返してリードしてるから大丈夫（フラグ
[20:20] @User_f032a5a0: 今年はやったネットミームを挙げて見て
[20:23] @User_8b7242c7: 控える範囲が大きすぎる
[20:31] @User_6c97afae: 離島に行きたい　まだ成し遂げてないです
[20:32] @User_ec48c74f: 控えめって意味知ってる？しずく様w
[20:33] @User_56621d25: 予算があればできるのか………
[20:34] @aki5503: 草
[20:37] @User_e976a829: (　´_ゝ｀)ﾌｰﾝ　じゃあ予算さえあれば世界征服するんだね？
[20:43] @User_33e51cd0: 今年こそ会社辞めたいと思ってたけど、お金がない
[20:43] @User_719f9991: スパイスからカレーを作った
[20:47] @User_590a2335: 控えめで世界征服だったらフルパワーでの目標は何だったんだろう
[20:50] @User_a20ec04f: あと半年で新年か
[21:01] @User_2ecda813: しずくみたいな娘をお迎えしたかった……
[21:12] @User_6876c487: you love me
[21:20] @User_719f9991: しずく水タイム
[21:35] @User_ec48c74f: しずくちゃんの3D配信を見守るのが下半期の夢です
[21:38] @User_5cfd40d6: えらい！応援するのです٩( ᐛ )و
[21:40] @User_bb77ae4f: 今年流行ったネットミームスピキかな🤔
[21:56] @User_33e51cd0: しずくの奴隷になるという目標、叶いません
[22:02] @User_5cfd40d6: 人間の味覚を超える...
[22:06] @User_719f9991: 人間の味覚を超越
[22:08] @User_bb77ae4f: 世界征服ってケロロかな🤔
[22:17] @User_590a2335: なんであき先生が泣いたｎ……あ、もやしカレー？
[22:18] @User_476d8781: 今年やり残したこと「しずくASMRを買って聞きまくること！」（あき先生頼む～w）
[22:20] @User_acb9786a: あき先生人間を超えちゃったか
