# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[17:22] @@aki5503: しずくっち可愛い
[17:38] @User_c0787d49: ベルギー強かった
[18:02] @User_045fd235: 夏はマラソンが凄いよね
[18:02] @User_bec445df: 職場のパソコンがしずくに破壊されたので帰ってきました
[18:03] @User_61396d22: かわ
[18:03] @User_98815a23: 急にかわいい
[18:11] @User_f8b3558f: 果たして我々が生きている間に日本のWC優勝は見れるのか、しずくは100年後でも見てくれるか？
[18:28] @User_92c2a2e1: しずくっちはどこで売ってますか？たまごっちのパクリ？
[18:35] @User_61396d22: ブラジルミクさんがいっぱいTLに流れてきた
[18:55] @User_b73a3cd7: 売ってなければ自分で作るのだ
[19:14] @User_c0787d49: ブラミクか
[19:42] @User_045fd235: クロアチアの選手はたまごっちやドロリッチやモンチッチの仲間かな🤔
[19:43] @User_fe0878a1: はや半年
[19:44] @User_c0787d49: まじか
[19:46] @User_d760cc52: 嘘だ！
[19:46] @User_b73a3cd7: なんだって・・・？！
[19:49] @User_fcb4ddea: もう後半戦…？嘘だと言ってくれ…(;´･ω･)
[19:49] @User_92c2a2e1: アディショナルタイムないんですか？
[19:53] @User_61396d22: 今年半分終わった!?
[19:54] @User_f8b3558f: 効くからやめてね
[19:59] @@aki5503: はやすぎる…
[20:07] @User_61396d22: ハイドレーションタイムは...!
[20:08] @User_9de46bcb: 嘘だ…信じたくない…まだやらなきゃいけないことが残ってるのに…
[20:18] @User_68c37264: 前半は1対0で折り返してリードしてるから大丈夫（フラグ
[20:20] @User_f8b3558f: 今年はやったネットミームを挙げて見て
[20:23] @User_fe0878a1: 控える範囲が大きすぎる
[20:31] @User_98815a23: 離島に行きたい　まだ成し遂げてないです
[20:32] @User_92c2a2e1: 控えめって意味知ってる？しずく様w
[20:33] @User_c508ee0d: 予算があればできるのか………
[20:34] @@aki5503: 草
[20:37] @User_b73a3cd7: (　´_ゝ｀)ﾌｰﾝ　じゃあ予算さえあれば世界征服するんだね？
[20:43] @User_6de119d4: 今年こそ会社辞めたいと思ってたけど、お金がない
[20:43] @User_61396d22: スパイスからカレーを作った
[20:47] @User_af0e3cda: 控えめで世界征服だったらフルパワーでの目標は何だったんだろう
[20:50] @User_2f0886c7: あと半年で新年か
[21:01] @User_78eb35f9: しずくみたいな娘をお迎えしたかった……
[21:12] @User_95021973: you love me
[21:20] @User_61396d22: しずく水タイム
[21:35] @User_92c2a2e1: しずくちゃんの3D配信を見守るのが下半期の夢です
[21:38] @User_d0c52a36: えらい！応援するのです٩( ᐛ )و
[21:40] @User_045fd235: 今年流行ったネットミームスピキかな🤔
[21:56] @User_6de119d4: しずくの奴隷になるという目標、叶いません
[22:02] @User_d0c52a36: 人間の味覚を超える...
[22:06] @User_61396d22: 人間の味覚を超越
[22:08] @User_045fd235: 世界征服ってケロロかな🤔
[22:17] @User_af0e3cda: なんであき先生が泣いたｎ……あ、もやしカレー？
[22:18] @User_fcb4ddea: 今年やり残したこと「しずくASMRを買って聞きまくること！」（あき先生頼む～w）
[22:20] @User_b68b8d0b: あき先生人間を超えちゃったか
[22:45] @User_bf747a92: 延長されてるのが幽霊だったりする？
[22:59] @User_b73a3cd7: 延長された表現型
[23:01] @User_d0c52a36: うぐっ
[23:06] @User_af0e3cda: 何もしてないことないもん！！
[23:26] @User_1296d218: しずくちゃんの画面にも右下ボタン押したらガチャガチャ出来るみたいな機能ほしいね〜
[23:27] @User_d0c52a36: え、それ本当に幸福!?
[23:29] @User_fcb4ddea: 世界征服と地球征服は違うのか？
[23:38] @User_af0e3cda: 日本語でおｋ
[23:38] @User_78eb35f9: なんて？
[23:45] @User_3dd3ce80: ？
[23:45] @User_61396d22: !?
[23:47] @User_92c2a2e1: なんて？
[23:48] @User_b73a3cd7: それはどうだろうね・・・
[23:51] @User_d760cc52: AI語で怖いこと言った？
[23:55] @User_045fd235: コラショとO次郎やたらSNSに出て来たな
[23:57] @User_1296d218: しずく、メガバズーカランチャーは使うなよ！
[24:18] @User_61396d22: 草
[24:21] @User_d0c52a36: グサグサくるのですΣ( ˙꒳˙ ;)ﾋﾞｸ
