# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[31:59] @User_36fcf009: 俺ら単勝一番強いられるのか
[31:59] @User_3781594c: じゃあワイもしずくさんと同じの買う
[32:03] @User_439eeb5c: マジッククッキーじゃないのか
[32:12] @User_2b12bcf7: 単勝きたー！
[32:15] @User_8142f876: ん？われらは１なの？
[32:17] @@aki5503: 2番人気か。悪く無い。
[32:20] @User_f3f575ff: しずくを信じろ
[32:23] @User_1abf22d1: 先週当てた2番人気を踏襲？
[32:27] @User_9b26dc6f: お小遣い20%減
[32:27] @User_eb6a203c: 期待値過剰は人間が評価つける以上絶対あるよね
[32:43] @User_a2b794ac: ご主人様パワーでリリージェーンきてほしい
[32:49] @@aki5503: Thank you for the subscribe!
[32:52] @User_e48a91b7: 1-6のワイドでええか？
[32:58] @User_0bc16841: 1400m(1万4000メートル)
[33:01] @User_fe537606: 1万？
[33:03] @User_5e6c36c3: x4.6か
[33:43] @User_1ba736e4: こんにちはー。
[33:47] @User_36fcf009: グッドラックしずく
[33:50] @User_eb6a203c: 期待値とのズレで1番得しそうなの買う感じなのかな？
[33:54] @User_8c10c31b: 6-15のワイドで！
[34:19] @User_108de219: ぱんぱかぽー
[34:34] @User_ff74d689: 3-6-14のワイドボックスにするべ
[35:23] @User_4cf19b8d: オッズが5.1に下がったな。しずく効果か・・・🤔
[36:05] @User_439eeb5c: しずくかっけえな
[36:15] @User_36fcf009: ポッドベルの単勝4.1倍に下がっとるやんけしずく
[37:00] @User_3781594c: しずくと一緒に買う人多すぎてオッズ下がった(？)
[37:03] @User_0bc16841: あき先生オッズリアルタイム更新して（無茶ぶり）
[37:25] @User_f3f575ff: しずく効果すごい
[37:26] @User_2b12bcf7: 6番単買ってきた。頼むぞ
[37:28] @User_a2b794ac: ふっ、泥船にのったつもりで任せろ
[37:29] @User_36fcf009: 壊れてる扱いは草
[37:45] @User_af0e3cda: 軽くあき先生ディスってきたｗ
[38:20] @User_0face912: マジッククッキー - プチブールでワイド
[38:22] @User_44faea52: 凄い下がってるね
[38:25] @User_1eca137c: ポッドベル4.2になった
[38:47] @User_d591add1: 競馬いいね。
[38:54] @User_3781594c: 競馬の予想とか全然わからないからしずくさんと同じの買うしかないや
[38:58] @User_1abf22d1: 1番と2番人気半々で単勝をコツコツ買っていけばトータルでプラス狙える？
[39:04] @User_267e9dc0: 昇級２戦目で慣れが見込めるレイアポポの複勝でいこうかな
[39:06] @User_e48a91b7: 燃やすｗ
[39:45] @User_439eeb5c: しずくを信じてポッドベル勝ってる人が沢山いるのかな…
[40:12] @User_1eca137c: オッズもWEBにあるよ
[40:13] @User_3d9820ae: あき先生の仕事増えとらんやんw
[40:15] @User_b73a3cd7: 全員が全員しずくの配信みてるわけでもないし、見えざる手でもあったんだろう
[40:17] @User_4cf19b8d: 4.3倍になった
[40:19] @@aki5503: 厳しいww
[40:42] @User_eb6a203c: いえーい、JRAくん見てるぅ〜？
[40:43] @User_44faea52: JRAようみとる
[40:44] @User_92c2a2e1: あちこちにすぐ喧嘩売るんだからw
[40:49] @User_0face912: はじまた
[41:02] @User_f78e9922: 買えなかった！
[41:06] @User_1eca137c: 荒波かw
[41:09] @User_af0e3cda: 泥船で荒波はダメｗ
[41:11] @User_1abf22d1: 船出じゃあ
[41:14] @User_f3f575ff: wktk
[41:14] @User_b73a3cd7: ゲートいんだ
[41:21] @User_439eeb5c: はじまる…
[41:24] @@aki5503: 始まる〜！
[41:27] @User_02dcd327: ゲートインですわぁ
[41:37] @User_1eca137c: JRAのライブもコメントめっちゃ流れてるんだね
[41:59] @User_439eeb5c: はじまた
[42:01] @User_5e6c36c3: はしった
[42:19] @@aki5503: 先頭集団だ
[42:29] @User_0bc16841: 10後ろだなあ
[42:38] @User_1eca137c: 先行馬なのかな
[42:53] @User_44faea52: いけぇ！
[42:59] @User_0bc16841: お？
[43:03] @User_af0e3cda: 1400mって一瞬だなぁ
[43:04] @User_5e6c36c3: 大事なことなので二回
[43:08] @User_f3f575ff: させさせ
[43:10] @User_679737a1: おぉー
[43:11] @User_44faea52: きたあああああ
[43:12] @@aki5503: お！
[43:12] @User_1eca137c: きたきた～
[43:12] @User_439eeb5c: きてる
[43:15] @User_af0e3cda: ｷﾀｷﾀｷﾀｷﾀ
[43:16] @User_9b26dc6f: おおおお
[43:16] @User_0face912: いったー！
[43:17] @User_4cf19b8d: いい位置だな
[43:18] @@aki5503: おおおおおおおお
[43:19] @User_1eca137c: こ、れ、は！！
[43:22] @User_f361c84c: ポットベルきたああ！
[43:23] @User_e48a91b7: うおおおおおお！！
[43:24] @User_02dcd327: おぉー！！！！
[43:24] @User_f78e9922: うおおおおお
[43:25] @User_5e6c36c3: おおお
[43:25] @User_f3f575ff: きたあああああああ
[43:27] @User_1eca137c: やったーーーー
[43:27] @User_1abf22d1: おおおお
[43:28] @User_9b26dc6f: 神
[43:29] @User_5def009f: うおおおおおおおおおおおお
