# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1687

[12:31] @User_75f1c92d: じゃあきゅうりも可愛いってこと？
[12:35] @User_848b01f4: しずくって雫って意味だったんか
[12:41] @User_9d63cc9b: Guilty
[12:49] @User_476d8781: 草
[12:50] @aki5503: しずくの配信見てるよ
[13:32] @User_75f1c92d: かわいい
[13:33] @User_cfb69eb9: ぷぉぉ～
[13:35] @User_719f9991: ww
[13:41] @User_8b7242c7: しずくさん温めるとオーバーヒートしちゃうから年中冷やしておかないとね
[13:41] @User_590a2335: ほら貝の再現度高い！
[13:46] @User_476d8781: 水冷は強いな
[13:47] @User_b9933007: ぷぉおーの声かわいい！
[13:48] @User_5a77a7b4: （なんかレスポンスが爆速になっとる…）
[13:55] @User_1544234b: なんか今日テンション高いよね
[14:06] @User_1d118d75: アヅゥイ
[14:08] @User_590a2335: 暑すぎて蚊に遭遇しなくなりましたね
[14:08] @User_eb058581: 暑い！暑い！
[14:09] @User_0ef5b5e0: アツウィィィーン！
[14:13] @User_719f9991: アツイアツイ
[14:14] @User_75f1c92d: アツゥイ！
[14:21] @User_3ea56962: アチュイ！
[14:23] @User_9a39f90e: あじあじ
[14:24] @User_590a2335: ｱﾄｩﾝ！
[14:31] @User_719f9991: 猛暑じゃなくて酷暑になっちゃった
[14:32] @User_82e93b33: アトゥイ
[14:35] @User_cfb69eb9: どうかしてる言葉だぜ
[14:37] @User_5a77a7b4: むしろ「夏日」を５℃シフトしたほうが良かったのでは
[14:38] @User_5bfd7e5f: しずく日
[14:42] @User_cd48a1db: 酷しずく日
[14:43] @User_b89cfecd: 過酷
[14:45] @User_1544234b: しずく日は何度になるんですか？
[14:50] @User_b9933007: 暑すぎてかなり体力削られてます…
[14:51] @User_d0753fd1: 気温が体温より高いんですが
[14:59] @User_2a29c921: 你好
[15:05] @User_5bfd7e5f: しずくループw
[15:05] @User_2ecda813: お、おう？
[15:06] @User_1d118d75: しずしずしず…
[15:08] @User_6992daac: わからん
[15:10] @User_bc2e7db7: あついから空からしずく水降らせてくれ
[15:13] @User_b9933007: もうしずくさんだらけ！さすがあき先生！
